序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,爆炸危害,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
104,信息技术产品,蓝牙耳机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,租客给蓝牙耳机充电，由于耳机放在被子里过烫，引发了火灾。,
105,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,杭州市民家中三菱柜式空调起火爆炸，导致用户家中损失达百万。,
106,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,中山一小区住户家中因电动车充电引发火灾，房屋被烧毁。,
107,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,苏州市民刘先生骑电动车经过人民桥时，车尾突然浓烟滚滚着火了。,
108,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,洗衣机买来不到3个月无故爆炸起火，卫生间的墙面被熏得焦黑，洗衣机几乎只剩下一个框架，连门上的玻璃都被炸得四处飞溅。,
109,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,绵阳市民做完饭刚关掉油烟机，玻璃面板就炸裂了。,
110,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,疑因货厢上电动车线路电池短路，造成一辆轻型货车在高速公路行驶过程中突然起火。,
111,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,北京朝阳区一所平房发生火灾，致4名外卖员重度烧伤，火灾疑因电动自行车电瓶充电引发。,
112,文教体育用品,书写笔,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,呼吸道阻塞,,9岁男孩不慎将含在嘴里的笔帽吞入，堵住了支气管，出现了发烧、咳嗽、呼吸困难、口唇发紫等症状。,
113,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,平山阳光花园着火了，殃及一楼住户及一辆本田SUV和数辆自行车，网友猜测起火原因是电动车充电不当。,
114,儿童用品,磁铁,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,6岁男童误吞3颗磁铁造成持续腹痛，医生检查发现孩子有一段小肠和大肠粘连并且水肿，并已造成肠穿孔。,
115,交通工具及相关产品,电动车充电柜,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,近日朝阳区十里河桥西左安路2号顺丰速运门口电动车充电柜起火。,
116,文教体育用品,风筝线,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,划伤,,山东一名4岁女童奔跑时不小心撞上风筝线，脖子被划伤。,
117,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,福建市民家中手机充电起火引燃床铺，夫妻两人被烧伤，其中一人脖子、下颌和双臂还是多处烧烫伤，烧伤面积超过了20%。,
118,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,中山市一户居民家中正在充电的电动车电池发生爆炸，随即起火。,
119,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南京市民在车棚和楼道里给电动车充电导致两起火灾。,
120,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,临沂市民家里的洗衣机运转中突然起火，底部被烧焦。,
121,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,漯河市一栋四层高独家小院内，五六辆电动车着火。,
122,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,泊头市泊镇堤口张村的两间活动板房突然起火，消防人员初步断定，是一辆正在充电的电动车引燃了板房。,
123,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,盐城一名5岁男孩误吞了4颗小磁珠，医生在给孩子做手术时发现，孩子已经出现了胃穿孔的症状。,
124,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,抚州市一小区旁有一店铺发生火灾，由于店铺内有近十辆电动车，整个室内浓烟滚滚，疑似为电动车电瓶充电时着火引起了火灾。,
125,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,方山县城一户居民家中起火，起火原因是家里卧室床旁边的电暖器引燃了床单。,
126,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,一名3岁男童玩耍时被卡在洗衣机甩干桶里。,
127,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,一氧化碳,烧伤,,四川成都一男子在屋内打开燃气热水器时，突然发生炸响，紧接着火焰从热水器顶端涌出，男子头部被烧伤。,
128,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,浙江金华某加油站，一辆轿车内充电宝不明原因自燃。,
129,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,哈尔滨市会展城上城小区一高层外挂空调机突然冒烟。,
130,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,靖江市一小区一辆电动车在充电时发生火灾，黑烟伴着明火窜出，电动车迅速燃烧，浓烟滚滚。,
131,儿童用品,挖沙玩具勺,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,男童右手的食指被卡在一个挖沙玩具勺的挂圈内，红肿严重。,
132,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,铜仁市一小区一名1岁左右的男婴被卡在洗衣机里无法动弹。,
133,家用电器及电器附件,遥控器,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,两名儿童误吞遥控器中的纽扣电池，造成食道腐蚀伤。,
134,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,南开大学一名学生在食堂用餐时，书包突然冒出一阵白烟，短短3秒后，书包竟“嘭”地爆发出火焰，并迅速燃烧，后来发现是书包里的罗马仕牌充电宝发生了自燃并产生爆炸。,
135,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,百色一小区住户已有近两个月没回家里了，房屋发生火灾，燃烧物质为放置在客厅内的落地式空调机。,
136,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,买了两年半的罗马仕充电宝，在宿舍晚上睡觉前放在床上，没有处于工作状态，睡了之后半夜一点半左右发生自燃，连带被子，床单，窗帘一起着火，虽然及时扑灭仍造成严重损失。,
137,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,信阳一名男童不慎将右手拇指插进洗衣机门与机体的缝隙，由于门的转动将小孩手指卡住并不停的流血。,
138,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,广西一村民家中的冰箱突然着火，冒出大量呛人的浓烟。,
139,信息技术产品,激光笔,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,视力受损,,长沙市岳麓区的9岁男孩小乐在玩耍时被小朋友用激光笔照过自己的眼睛，视力降至0.2。,
140,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,网友购买的小米9透明版充电的时候发生自燃，辛亏拔的及时，但是充电线头已经烧红，手机充电孔已经烧变形了。,
141,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,洛阳一小区一辆电动车充电时起火，并引燃旁边几辆自行车和1楼一居民家的窗户，一辆白色越野车车头左侧车灯位置被烤坏。,
142,信息技术产品,手机充电器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,西安一小区住户家中起火，据附近居民反映，疑似是手机充电导致的起火，住户去送孩子上学，出门前没有拔掉手机充电器。,
143,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,亳州涡阳，一3岁男童玩耍时被卡在洗衣机滚筒内。,
144,信息技术产品,手机,华为,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,网友投诉华为手机质量堪忧，电池鼓包，差一点爆炸危害安全。,
145,家用电器及电器附件,空调,志高,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,用户在苏宁易购平台上购买了一台志高空调，使用了一年后突然无故着火。,
146,家用电器及电器附件,抽油烟机,苏泊尔,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,用户从京东苏泊尔旗舰店买的苏泊尔抽油烟机玻璃板面爆炸了，还在保修期内，用户认为是重大质量问题。,
147,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,死亡,,广西师范大学漓江学院对面的一间民房1楼的楼梯间有电动车起火，冒出浓烟。因起火点刚好在楼梯间，导致楼上数十名居住人员被困。火灾造成5死38伤。,
148,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,淄博市民骑着电动自行车去上班，突然电动车电瓶位置传来噼啪响声，紧接着就冒出浓烟，着起火来。,
149,家具及建筑装饰装修材料,玻璃旋转门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,潜在能量危害,部件空隙或开口,死亡,,湖南邵阳一名3岁半的小男孩在玻璃门边玩耍，头伸门缝不慎被卡身亡。,
150,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,一名2岁7个月男童误吞了15颗高磁力的巴克球，致小肠穿孔。,
151,儿童用品,玩具气球,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,死亡,,2岁男童在玩气球时，气球突然在脸前爆裂，碎片飞进嘴里卡住了气管，孩子被送到医院时已不治身亡。,
152,家用电器及电器附件,剃须刀,无,无,无,不限年龄段,男,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,短路,财产损失,,户主用插线板给剃须刀充电，电器短路引燃床铺。,
153,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,卧室里放着的手机突然爆炸，产生的火焰迅速点燃了床单引发大火。,
154,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,中山一农庄放在前台的街电柜式共享充电宝冒烟起火，导致农庄火灾。,
155,儿童用品,玩具气球,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,烧伤,,王女士在街上给五岁的儿子花了十块钱买了一个恐龙造型的气球，在商场内乘坐扶梯时突然燃烧了起来，燃烧后的气球的残留物，还在孩子的身上继续燃烧，导致孩子的面部手臂以及身上发生不同程度的烧伤。,
156,儿童用品,玩具气球,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,炸伤,,河南洛阳的一名6岁女孩在给气球充气时，气球突然“砰”的一声发生爆炸，左眼被爆炸的气球击得睁不了眼，且左眼发红发肿。,
157,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,网友称自己买了两年的小米充电宝突然无故自燃爆炸，事发当时充电宝不在使用状态，就放在桌面上，结果连桌子都被烧坏了。,
158,家用电器及电器附件,便携式电瓶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,杭州一小区三楼一户人家起火，一老人受伤，火灾原因初步判断是电瓶充电引起。,
159,家用电器及电器附件,便携式电瓶,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,贵阳一市民在给自己的便携式电瓶充电时，发现电瓶竟膨胀了起来，他赶紧将电瓶放到卫生间去，但电瓶仍然发生爆炸并引发火灾。,
160,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,山东一名3岁男孩卡在了洗衣机甩干桶里，怎么也出不来了。,
161,文教体育用品,书写笔,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,呼吸道阻塞,,青岛一名16岁男孩不慎吸入笔帽，之后就出现胸痛、胸闷的症状。,
162,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,一辆停放在楼房架空层里的电动车起火，事发时这辆电动车处于熄火未充电状态。,
163,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,广州地铁3号线开往番禺广场方向的列车在沥滘站进站时，一车厢内乘客的充电宝突然冒起白烟。,
164,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,武昌市民在家里客厅充电的锂电池半夜突然爆炸起火。,
165,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,一岁半幼儿误吞16颗磁力珠，险造成肠梗阻。,
166,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,桂林一小区电动车充电时突然起火，电动车被烧成铁架子。,
167,家用电器及电器附件,电吹风,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,租户出门时忘记拔电吹风引发火灾。,
168,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,菏泽青年路和曹州路交叉口附近一住户家中突然着火，起火原因为冰箱连电，无人员受伤和被困。,
169,日用杂品,气球,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,烧伤,,一辆小车内装载着氢气球及氢气打气瓶，由于车内氢气到达了一定浓度，在用车钥匙遥控开门时发生了爆炸。,
170,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,烧伤,,绍兴一男子凌晨在睡梦中突然被爆炸声惊醒，发现周围的床单，窗帘以及自己身上的被子，都已经燃烧起来该男子被重度烧伤。,
171,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,烫伤,,厦门一男子把充电宝放在裤兜里给手机充电，充电宝自燃，男子大腿皮肤被烫起疱。,
172,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,演员孙彦军家中放在阳台充电的电瓶车着火，导致屋里的东西已经全部烧毁，损失惨重。,
173,儿童用品,点读笔,趣威,无,无,14岁及以下,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,有网友爆料给孩子在天猫买的趣威点读笔突然爆炸，幸亏2岁的孩子没在玩，否则后果不堪设想。商家回应称，不能使用南孚电池或充电电池。,
174,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,南海市民家中厨房抽油烟机的钢化玻璃爆裂，厨房满地都是玻璃渣，炒菜的锅里面全是玻璃渣，玻璃碎片射到满个厨房都是。,
175,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,一名女子驾驶电动自行车，前后各载着一个孩子走到半路，不料车子突然起火，短时间内就被完全烧毁。,
176,信息技术产品,手机,Iphone,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,渭南一小区发生苹果手机自燃，烧掉整个家，原因是苹果手机充电系统自燃引起火灾。,
177,家具及建筑装饰装修材料,景观灯,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,死亡,,余杭街道湖山帝景湾小区一景观步道内2名女童发生意外倒地。事发时在景观步道积水中戏水，初步判断可能为触电引发。2名女童经余杭二院全力抢救无效死亡。,
178,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,炸伤,,深圳一市民正在小区里面的充电站给电动车充电，电动车突然之间爆炸了，并且在40秒内接连爆炸了30次，导致她右小腿受伤流血。,
179,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,嘉兴一3岁男童偷偷爬进了洗衣机甩干桶，不料身体被牢牢卡住。,
180,信息技术产品,手机,Iphone 6plus,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,遵义市民睡觉时将苹果6plus手机放在床边，凌晨手机发生燃爆。,
181,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,一辆电动自行车在途经衢州市区衢江大桥时发生自燃，幸好及时扑灭。,
182,家具及建筑装饰装修材料,紫外线灯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,紫外线辐射,灼伤,,广州番禺区一幼儿园的老师误开紫外线灯，造成多名幼儿眼睛被灼伤，皮肤也有脱皮的现象。,
183,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,贵阳市民家中淋浴房的一扇玻璃门发生爆裂，碎成了一推玻璃渣。,
184,家具及建筑装饰装修材料,玻璃门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,杭州地铁2号线一辆前往朝阳方进入钱江世纪城站时，站台的一块屏蔽门玻璃炸裂了。,
185,儿童用品,儿童服装,无,无,无,14岁及以下,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,2岁女童误吞拉链头，食道被卡住，导致猛烈咳嗽、呕吐。,
186,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,5月30日下午，浙江嘉兴秀洲区新塍镇新罗桥附近一3岁小男孩把自己卡在了洗衣机里，下半身动弹不得。,
187,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,阜阳市一小区居民楼楼道内的电动车起火，现场有7辆电动车被烧毁。,
188,信息技术产品,手机,8848,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,灼伤,,市民苗先生手中握着的8848手机突然发生冒烟起火，苗先生手部也被轻微灼伤熏黑。,
189,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,海口市秀英区东方洋路海运宿舍一户居民洗衣机着火。,
190,家具及建筑装饰装修材料,玻璃门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,形状和表面性能危害,锐利边缘,划伤,,普陀一名女子上班走到公司楼下准备刷卡进大楼，推了一扇玻璃门之后，整扇玻璃门竟掉了下来，女子腿部被玻璃碎片划伤。,
191,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西安东郊金花北路东窑坊小区一居民楼内，突然浓烟弥漫。疑在卧室内给手机充电引发火情。,
192,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,深圳市福田区滨河大道花样年·花好园小区某栋9楼发生一起火灾。经初步调查，此次火灾系电动自行车电池室内充电起火导致。,
193,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,乐山沐川县沐溪镇某居民楼一住户把电瓶车上的电池拆下来带回家充电，电池爆燃引发火灾。,
194,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,盐城市滨海县一民房起火，原因为电动自行车放在房间内充电发生爆燃。,
195,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南明一男子将电瓶车放在家中充电，不料凌晨突然发生爆炸引发火灾，一家三口被困在阳台上。,
196,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,洛阳小区一栋居民楼前突发火灾，伴随着砰砰的爆炸声，数辆电动车、摩托车被烧成一堆铁架，就连停在四五米外的轿车也被大火“毁容”。,
197,日用杂品,典礼用氢气球,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,炸伤,,安徽省明光市一村民家的院子里突然飞来一只红色的氢气球，村民家中9岁的孙女把氢气球往外拖的过程中，氢气球发生爆炸，导致三人受伤。,
198,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,沈阳的肖先生反映，网购的电动车充电式电池发生爆炸引发火灾，致室内家具家电、装修基本被烧毁，损失7万余元。,
199,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,上饶一小区1楼电梯前室电动车着火，火灾导致几辆电动车被烧毁。,
200,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,胶州一辆正在行驶的电动车突然起火，幸被附近的宝龙物业的工作人员持灭火器赶到将火扑灭,
201,文教体育用品,电动跑步机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,卡伤,,南京一7岁男童钻进跑步机底盘捡玩具，头被跑步机底盘死死卡住，动弹不得。,
202,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西安北二环附近南康新村村口，一辆车棚内的电动车在充电时起火，引燃了车棚内其他车辆，导致30多辆电动车被烧毁。,
203,家具及建筑装饰装修材料,电动卷帘门,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,死亡,,宜宾一房产中介早上开门时疑因卷帘门漏电，男子被电身亡。,
204,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,烧伤,,深圳市宝安区一名外卖送餐员口袋里的充电宝突然发生爆炸。发生爆炸的充电宝系其花了一百多块钱在网上购买，刚用没几天就发生爆炸。,
205,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,济南一小区一辆电动车充电时起火，并引燃旁边的另一辆电动车。,
