序号,月报期数,产品分类（月报）,日期,召回数量,产品名称,标题,召回原因,危害源,危害情况,区域,链接,,,,,,,
,7,其他,2020/6/30,1272,密胺餐具,【山西】临汾市尧都区鑫源晋强密胺制品厂召回部分密胺餐具产品,产品中三聚氰胺和甲醛残留不符合要求，易在肾脏中聚集形成结石，导致危害肾功能可能对人体产生安全隐患。,三聚氰胺、甲醛,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92158.html,,,,,,,
,7,其他,2020/6/30,954,密胺餐具,【山西】山西洁耐餐具制品有限公司召回部分密胺餐具产品,产品中三聚氰胺残留不符合相关标准要求，存在危及人身健康的安全隐患。,三聚氰胺,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92160.html,,,,,,,
,7,日化,2020/6/30,493,洗洁精,【山西】太原市晶羚日化有限公司召回部分洗洁精产品,由于菌落总数不符合相关要求，在清洗餐具或消毒不彻底的情况下可能产生细菌残留，存在危及人身健康的安全隐患。,菌落,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92161.html,,,,,,,
,7,其他,2020/6/30,48,密胺餐具,【山西】襄汾县瑞德合成材料有限公司召回部分密胺餐具产品,三聚氰胺单体迁移量不符合GB4806.6-2016标准要求，可能对人体产生危害。,三聚氰胺,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92162.html,,,,,,,
,7,其他,2020/6/30,1968,日用瓷器,【山西】应县东进陶瓷有限公司召回部分日用瓷器产品,吸水率不符合相关要求，产品在放入微波炉加热使用时，可能会导致瓷器表面破裂另由于产品液体残留高，存在危及人身健康的可能。,吸水率、液体残留,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92163.html,,,,,,,
,7,其他,2020/6/30,810,日用瓷器,【山西】应县富彩陶瓷有限公司召回部分日用瓷器产品,由于生产过程中制作工艺把控不严导致吸水率不符合相关要求，产品在放入微波炉加热使用时，其吸收的水体急速膨胀、釉面受热不均匀，可能会导致瓷器表面破裂另外由于产品使用中吸收的液体残留高，相对有害微生物也随之增高，存在危及人身健康的可能。,吸水率、液体残留,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92164.html,,,,,,,
,7,其他,2020/6/30,7000,日用瓷器,【山西】怀仁市亿家亲陶瓷有限责任公司召回部分日用瓷器产品,由于吸水率指标不符合相关标准要求，在微波炉加热使用时，可能会导致瓷器表面破裂，有害微生物残留也可能增高，存在危及人身健康的安全隐患。,吸水率、微生物残留,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92157.html,,,,,,,
,7,儿童用品,2020/7/2,75,童鞋,【江苏】江都区爱婴美制鞋厂召回洛米笛诺牌（LX-7106）婴儿学步凉鞋(毛毛虫款),鞋身红色橡胶装饰物中的邻苯二甲酸酯含量过高。邻苯二甲酸酯会对生殖系统、免疫系统和消化系统造成伤害。,邻苯二甲酸酯,损害生殖系统,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92156.html,,,,,,,
,7,交通用具,2020/7/2,60,自行车,【天津】天津维佳斯自行车有限公司召回PHILLIPS ATX-777/24速山地自行车,由于前叉品质没有严格管控，致使不达标配件被使用，可能存在骑行时前叉断裂的安全隐患，可能会造成骑行者受伤，,前叉断裂,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92169.html,,,,,,,
,7,儿童用品,2020/7/3,10500,童车,上海蓝缕实业有限公司召回部分便携式儿童推车,由于在促销过程中赠送的遮阳棚会影响此款推车的稳定性，极端情况下，存在推车倾倒的风险，给儿童带来不可预见的伤害。,稳定性,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92171.html,,,,,,,
,7,家用电器及电器附件,2020/7/3,440,纯水机,3M材料技术（广州）有限公司召回部分反渗透纯水机,在特殊情况下耗氧量可能出现异常，过滤后的水质可能会影响人身健康安全。,耗氧量异常,损害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92172.html,,,,,,,
,7,儿童用品,2020/7/3,48660,童车,东莞市森王婴儿用品有限公司召回部分儿童推车,由于在促销过程中为消费者赠送的太阳伞会影响此款推车的稳定性，存在推车倾倒的风险，极端情况下，给儿童带来不可预见的伤害。,稳定性,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92173.html,,,,,,,
,7,家用电器及电器附件,2020/7/3,486,净水器,上海水护盾健康科技公司召回部分厨下式反渗透净水器,在特殊情况下耗氧量可能出现异常，过滤后的水质可能会影响人身健康安全。,耗氧量异常,损害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92174.html,,,,,,,
,7,家用电器及电器附件,2020/7/3,500,纯水机,北京亚都环保科技有限公司召回部分纯水机,在特殊情况下耗氧量及铬（六阶）、砷析出可能出现异常，过滤后的水质可能会影响人身健康安全。,耗氧量、六价铬,损害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92175.html,,,,,,,
,7,其他,2020/7/3,3160,口罩,【重庆】凯之迪（重庆）医疗科技有限公司召回一次性使用防护口罩,由于供应商提供的原材料原因，产品存在过滤效率和防护效果不足的安全隐患。,过滤效率和防护效果,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92204.html,,,,,,,
,7,其他,2020/7/3,6,油水泵机组,【重庆】重庆创润绿宝通用机械有限公司召回柴油水泵机组,由于排气部件在正常运行时温度大于80°C，且未加装防护装置，可能存在烫伤风险。,防护装置,烫伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200703_92205.html,,,,,,,
,7,其他,2020/7/7,3290,口罩,【山东】临沂雅露食品有限公司召回一次性口罩,由于采购熔喷布存在质量问题，可能导致空气中的污染物进入呼吸区，影响防护效果，危害人身健康安全的风险。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92268.html,,,,,,,
,7,其他,2020/7/7,22000,口罩,【山东】青岛海脉国际医疗健康产业有限责任公司召回防护口罩,由于购进的熔喷布过滤效率不达标，,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92269.html,,,,,,,
,7,儿童用品,2020/7/7,189,儿童服装,【山东】青岛川泰隆服饰有限公司召回蝴蝶结连衣裙,由于在生产过程中尺寸大于国家标准2厘米，可能引起儿童脖颈缠绕。,衣服尺寸,脖颈缠绕,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92271.html,,,,,,,
,7,儿童用品,2020/7/7,2740,儿童玩具,【山东】临沂骏铭玩具有限公司召回水枪玩具,由于在设计时存在缺陷，可能存在水枪活动部件间隙易引起儿童夹伤风险。,开口或间隙,夹伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92270.html,,,,,,,
,7,儿童用品,2020/7/7,200,儿童服装,【山东】惠泽服饰有限公司召回菩拉拉童装,领口有绳带，儿童在穿着过程中有绳带可能导致被缠绕、绊倒，存在安全隐患。,绳带,绊倒、脖颈缠绕,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92272.html,,,,,,,
,7,儿童用品,2020/7/7,200,儿童服装,【山东】青岛菲瑞泰尔服饰有限公司召回“Z丝光麻棉灯笼裤”,由于在生产过程中加上了腰部假绳的设计，可能存在对儿童脖颈缠绕的安全隐患。,绳带,脖颈缠绕,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92273.html,,,,,,,
,7,儿童用品,2020/7/7,539,儿童服装,【山东】淄博康天商贸有限公司召回婴幼儿肚兜,由于设计时沿用了自古坊间肚兜款式的绳带设计，有可能会造成脖颈缠绕的危险。,绳带,脖颈缠绕,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92274.html,,,,,,,
,7,其他,2020/7/7,30000,口罩,【山东】平邑零度劳保用品有限公司召回一次性口罩,由于前期购买的原料熔喷布不达标，造成生产的口罩打不达不到GB32610-2016的标准，消费者佩戴后达不到隔离颗粒沉淀物的作用。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92275.html,,,,,,,
,7,其他,2020/7/7,23200,口罩,【山东】菏泽欧泰服饰有限公司召回一次性使用口罩,由于在生产过程中使用的过滤材料不合格，可能会造成人身安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92276.html,,,,,,,
,7,其他,2020/7/7,450,口罩,【山东】青岛誉康科惠安防有限公司召回一次性使用（17.5cm*9.5cm）防护口罩,佩戴过程中，防护效果未达标，可能造成防护不到位。,防护效果,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92277.html,,,,,,,
,7,其他,2020/7/7,27250,口罩,【山东】山东颐兴医疗器械有限公司召回一次性使用口罩,经分析可能采购使用了不符合要求的原材料。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92278.html,,,,,,,
,7,其他,2020/7/7,1000,口罩,【山东】山东三棵树博奥医疗科技有限公司召回一次性防护口罩,由于生产原材料喷熔无纺布达不到其标称的过滤效果，可能会导致污染物进入体内影响身体健康。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92279.html,,,,,,,
,7,其他,2020/7/7,1550,口罩,【山东】山东回寿堂药业有限公司召回KN95防护口罩,由于过滤效率未达到要求，可能导致消费者在使用时不能完全过滤颗粒物而导致影响防护效果，影响使用者的人身健康安全。,过滤效率,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92280.html,,,,,,,
,7,其他,2020/7/7,7010,口罩,【山东】山东国汇新材料有限公司召回舒适防护型口罩,由于在生产中使用了不达标的熔喷布，致使口罩防护效果不达标。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92282.html,,,,,,,
,7,其他,2020/7/7,350,口罩,【山东】山东康冠医疗科技有限公司召回一次性口罩(非医用),由于原材料熔喷布不合格，可能存在过滤效果不达标的安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92281.html,,,,,,,
,7,其他,2020/7/7,6000,口罩,【山东】山东鑫洁佳包装材料有限公司召回一次性日用防护口罩,检测口罩过滤效率不合格。,过滤效率,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92283.html,,,,,,,
,7,其他,2020/7/8,1350,口罩,【山东】济宁佳康卫生用品有限公司召回一次性民用口罩,由于在生产过程中发现熔喷布不符合规定，可能存在对人体安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92284.html,,,,,,,
,7,其他,2020/7/8,5500,口罩,【山东】山东永芳卫生用品有限公司召回一次性防护口罩,由于在生产过程过滤效率及防护效果未达到技术要求，,过滤效率,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92285.html,,,,,,,
,7,其他,2020/7/8,81400,口罩,【山东】青岛金卫士医疗科技有限公司召回儿童口罩,由于熔喷布的问题，可能存在过滤效率下降的隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92286.html,,,,,,,
,7,其他,2020/7/8,350,口罩,【山东】天爱（山东）防护用品有限公司召回一次性口罩,由于生产过程中采用了医用标准的熔喷布，可能存在防护效果不佳，,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92287.html,,,,,,,
,7,其他,2020/7/8,4460,口罩,【山东】山东华棉纺织品有限公司召回一次性使用防护口罩,由于在采购原材料熔喷布的不合格，导致口罩的过滤效率，防护效果不达标。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92288.html,,,,,,,
,7,其他,2020/7/8,5000,口罩,【山东】郯城恒顺卫生用品有限公司召回一次性防护口罩,由于在生产过程中使用了不合格熔喷布，可能存在防护效果不达标的安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92290.html,,,,,,,
,7,其他,2020/7/8,10000,口罩,【山东】山东紫日工贸有限公司召回一次性防护口罩,由于购进的熔喷布是做医用口罩的原材料，所以防护效果不符合GB/T32610-2016日用防护口罩的标准。影响防护效果。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92289.html,,,,,,,
,7,其他,2020/7/8,12000,口罩,【山东】山东欣洁月舒宝纸品有限公司召回一次性防护口罩,由于在生产过程中使用了假冒伪劣熔喷布，可能存在防护效果不达标的安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92291.html,,,,,,,
,7,其他,2020/7/8,3000,口罩,【山东】临沂梦之兰纸品有限公司召回一次性防护口罩,由于在生产过程中使用了不合格熔喷布，可能存在防护效果不达标的安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92292.html,,,,,,,
,7,其他,2020/7/8,3000,口罩,【山东】郯城得伴卫生用品有限公司召回一次性防护口罩,由于在生产过程中使用了不合格熔喷布，可能存在防护效果不达标的安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92293.html,,,,,,,
,7,其他,2020/7/8,4900,口罩,【山东】招远市成霖无纺布制品有限公司召回一次性日常防护型口罩,由于熔喷布采用的为医用95级，并不适合一次性日常防护口罩，存在过滤效率及防护效果项目不符合《GB/T32610-2016标准》要求。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92295.html,,,,,,,
,7,其他,2020/7/8,20000,口罩,【山东】山东安森护理用品有限公司召回一次性防护口罩,由于在生产过程中使用了假冒伪劣熔喷布，可能存在防护效果不达标的安全隐患。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92294.html,,,,,,,
,7,其他,2020/7/8,8000,口罩,【山东】东营市万鑫纸制品厂召回一次性使用口罩（非医用）,由于生产的过程中使用了不合格原材料，不能完全的保护人身安全。,过滤层材质（熔喷布）,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92296.html,,,,,,,
,7,其他,2020/7/8,10000,口罩,【山东】山东和济医疗防护用品科技有限公司召回一次性使用口罩,由于防护效果和盐性介质过滤效果低于国家标准，对消费者呼吸安全起不到应有的保护作用，存在一定的安全隐患。,防护效果、盐性介质过滤效果,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92297.html,,,,,,,
,7,其他,2020/7/8,2000,口罩,【山东】莱州市德丰新材料科技有限公司召回“一次性民用口罩”,由于过滤效率低于国家相关标准，可能达不到预期的过滤效果，存在安全隐患。,过滤效率,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92298.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/8,9,白胶,【北京】北京金创易德科贸有限公司主动召回缺陷产品（白胶产品）,由于生产环节和过程质量管理管控出现问题，产品的游离甲醛不符合有关国家标准要求，可能会对人身健康产生危害。,游离甲醛,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200709_92299.html,,,,,,,
,7,交通用具,2020/7/10,100,电动自行车充电器,【江苏】南京特能电子有限公司召回部分特能捷安特专用（DZM482065）电动自行车充电器,没有标识最大电压、最大电流和正、负极性，容易导致触电和火灾危险。,标识,触电、火灾,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200713_92334.html,,,,,,,
,7,其他,2020/7/10,299,摩托车,宝马（中国）汽车贸易有限公司召回部分C400GT、C400X摩托车,部分车辆使用的制动灯灯光控制程序，不符合国家相关摩托车法规的要求。,制动灯灯光控制程序,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200710_92325.html,,,,,,,
,7,儿童用品,2020/7/10,99,童鞋,【上海】宇旭时装（上海）有限公司召回部分童鞋,鞋上小金属饰物未到70N拉脱，且可完全容入小零件试验器，不符合GB 30585-2014《儿童鞋安全技术规范》中小附件项目要求，存在可能被婴幼儿误吞食的安全隐患。,小零件,误吞食,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200710_92328.html,,,,,,,
,7,家用电器及电器附件,2020/7/13,284,消毒保洁柜,【四川】四川沃凯玛厨房设备制造有限公司召回部分“YTP－280、YTP－380、YTP－910”沃凯玛豪华型消毒保洁柜,由于该型号中结构不符合安全要求，电源连接和外软线、接地保护不符合安全要求，有涉及人身安全的风险。,结构、电源连接和外软线、接地保护不符合安全要求,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92430.html,,,,,,,
,7,家用电器及电器附件,2020/7/13,200,空气净化消毒机,【四川】好空气科技发展有限公司召回部分“KJF－Y100”等离子体空气净化消毒器,由于该型号中连续漏电流和辅助电流不符合要求，网电流源部分、元器件和布线存在安全隐患，有涉及人身安全的风险。,连续漏电流和辅助电流,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92431.html,,,,,,,
,7,家用电器及电器附件,2020/7/13,200,空气净化消毒机,【四川】老肯医疗科技股份有限公司召回部分“LK/KJF－Y－100－D”等离子体空气净化消毒机,"由于该型号中没有安全警示标识，存在安全隐患，极端情况下可能会导致消费者触电,有涉及人身安全的风险。",警示标识,触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92432.html,,,,,,,
,7,家用电器及电器附件,2020/7/13,21,空气净化消毒机,【四川】四川净为康消毒设备有限公司召回部分“JWK－JH”等离子空气消毒机,由于该型号中外壳和防护罩不符合要求，面和边角不符合要求，电介质强度、网电源部分、电器件和布线不符合要求，存在安全隐患，有涉及人身安全的风险。  ,外壳和防护罩、面和边角、电介质强度、网电源部分、电器件和布线,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200716_92451.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/13,175,双层床,【四川】四川木之缘家具有限公司召回部分“102”木之缘双层床,由于该型号中安全栏板顶边与床铺面上表面的距离不符合要求，标记线、安全栏板的同一方向上相邻阻挡构件净空间隙不符合要求，存在安全隐患，有涉及人身安全的风险。  ,安全栏板顶边与床铺面上表面的距离、标记线、安全栏板的同一方向上相邻阻挡构件净空间隙不符合要求,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92435.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/13,3,双层床,【四川】成都市大成家具有限责任公司召回部分“6608－2”阳光明珠双层床,由于该型号中安全栏板的长边中断长度不符合要求，存在安全隐患，有涉及人身安全的风险。  ,安全栏板的长边中断长度,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92436.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/13,94,双层床,【四川】成都今彩家具有限公司召回部分“型号：B-5，规格1.35×2.00”今彩人生双层床,由于该型号中安全栏板与床铺距离不够，上下铺之间零空距离不够，存在安全隐患，有涉及人身安全的风险。  ,安全栏板与床铺距离不够、上下铺之间零空距离不够,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92437.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/13,3,双层床,【四川】新都区琦龙家具有限公司召回部分“S－001”琦龙双层床,由于该型号中安全栏板顶边与床铺面上表面的距离、安全栏板的同一方向相邻阻挡构件净空间隙不符合要求，连接上下铺的脚踏板距离、标记线不符合要求，存在安全隐患，有涉及人身安全的风险。  ,安全栏板顶边与床铺面上表面的距离、安全栏板的同一方向相邻阻挡构件净空间隙、连接上下铺的脚踏板距离、标记线不符合要求,安全风险,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200715_92438.html,,,,,,,
,7,电子信息,2020/7/14,1534,移动电源,【广东】东莞市机乐堂电子科技有限公司召回部分移动电源,由于在生产过程中防阻燃材料配比失误，导致产品外壳材料阻燃不符合安全要求，可能会在电源内部起火时，无法起到有效阻燃作用，存在危及人身、财产安全的不合理危险。,防阻燃材料配比,危及人身、财产安全,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200714_92337.html,,,,,,,
,7,电子信息,2020/7/14,68,移动电源,【广东】深圳市科创瑞科技有限公司召回M10000移动电源,由于产品外壳材料阻燃不符合安全要求，可能会在电源内部起火时，无法起到有效阻燃作用，存在危及人身、财产安全的不合理危险。,外壳材料阻燃性,危及人身、财产安全,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200714_92336.html,,,,,,,
,7,电子信息,2020/7/15,6000,移动电源,【广东】广东麦多多实业有限公司召回部分雅格系列移动电源,1.外壳材料阻燃不符合安全要求，可能会在电源内部起火时，无法起到有效阻燃作用2.产品意外跌落时，外壳可能不能有效保护内部组成电池及关键元器件，导致内部元器短路等引发起火。,外壳材料阻燃性、外壳的防摔性能,起火,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200716_92449.html,,,,,,,
,7,电子信息,2020/7/15,500,移动电源,【广东】深圳市睿禾科技有限公司召回部分移动电源,由于产品意外跌落时，外壳可能不能有效保护内部组成电池及关键元器件，导致内部元器短路等引发起火，存在危及人身、财产安全的不合理危险。,外壳的防摔性能,起火,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200716_92450.html,,,,,,,
,7,儿童用品,2020/7/16,60,儿童服装,【广西】桂林市小数点婴幼儿服饰有限公司召回小数点牌（8846837）外套,由于头、颈部有绳带，可能因无意识的缠绕或意外的钩挂，对儿童产生勒杀窒息危险且使用弹性绳索，拉伸后容易伤到儿童的脸部或眼睛。,弹性拉绳,窒息、受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200717_92465.html,,,,,,,
,7,儿童用品,2020/7/16,80,儿童服装,【广西】桂林市小数点婴幼儿服饰有限公司召回小数点牌（1423204）蜻蜓花裙子套,由于头、颈部有绳带，可能因无意识的缠绕或意外的钩挂，对儿童产生勒杀窒息危险且使用弹性绳索，拉伸后容易伤到儿童的脸部或眼睛。,弹性拉绳,窒息、受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200717_92464.html,,,,,,,
,7,其他,2020/7/2,42000,医用口罩,韶关泰洁防护科技有限公司对一次性使用医用口罩（非无菌）主动召回 ,市医疗器械抽检发现通气阻力为62.7Pa/CM2，大于国家标准的49Pa/CM2为不合格品,通气阻力,危害健康,,http://mpa.gd.gov.cn/ztzl/zdly/zhxx/content/post_3028305.html,,,,,,,
,7,其他,2020/7/2,无,医用口罩,广东兆元实业有限公司对一次性使用医用口罩主动召回 ,细菌过滤效能（BFE）没有达到大于或等于95%（实测75.3%）,细菌过滤效能,危害健康,,http://www.cqn.com.cn/ms/content/2020-07/03/content_8614587.htm,,,,,,,
,7,其他,2020/7/3,1640,医用口罩,广东永祥医疗科技有限公司对一次性使用医用口罩主动召回,通过检测不符合标准,通过检测 ,无,,http://www.cqn.com.cn/ms/content/2020-07/03/content_8614583.htm,,,,,,,
,7,其他,2020/7/2,50000,一次性使用医用口罩,广东比伦生活用纸有限公司对一次性使用医用口罩主动召回,细菌过滤未达标,细菌过滤效能,危害健康,,http://mpa.gd.gov.cn/ztzl/zdly/zhxx/content/post_3028260.html,,,,,,,
,7,其他,2020/7/6,5100,医用口罩,珠海天达生物医药科技有限公司对一次性使用医用口罩主动召回 ,产品细菌过滤率性能参数不达标,细菌过滤效能,危害健康,,http://mpa.gd.gov.cn/ztzl/zdly/zhxx/content/post_3030491.html,,,,,,,
,7,其他,2020/7/6,47500,医用口罩,深圳市思科兴净化制品有限公司对一次性使用医用口罩主动召回 ,通气阻力82.6Pa/c㎡，不合格,通气阻力,危害健康,,http://mpa.gd.gov.cn/ztzl/zdly/zhxx/content/post_3030496.html,,,,,,,
,7,电子信息,2020/7/17,50,充电器,【江苏】无锡三石电子有限公司召回星恒牌（DZLM4820-01）锂离子电池专用充电器,1、产品输出端的插头能与非安全电压的现行国家标准插头互换，容易造成误插，可能会造成触电或充电器过热的风险2、产品输出端插头未标识其最大电压、最大电流，可能会导致消费者误用或造成其他不可预见的伤害。,插头误插、标识,触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200720_92495.html,,,,,,,
,7,日用杂品,2020/7/20,1000,金属杆扫把,【安徽】安徽省桐城市天平塑料有限责任公司召回部分组合式金属杆扫把,由于在设计采用将塑料把手套在金属把杆上，仅靠塑料与金属件的摩擦力保证连接的可靠性，并无其他固定措施且金属杆有锐边。塑料把手一旦脱落或破裂，由于运动惯性，消费者可能会被锋利的薄壁零部件划伤，或者金属把杆可能会刺伤人体。,固定措施、锐利边缘,刺伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200721_92542.html,,,,,,,
,7,其他,2020/7/20,900,口罩,【安徽】安徽非亚卫生用品有限公司召回（部分）非医用一次性防护口罩,由于使用的熔喷布过滤率不合格，导致该批次产品过滤效率低于国家相关标准要求，对消费者呼吸安全起不到应有的保护作用。,过滤层材质（熔喷布）,危害人身安全,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200721_92543.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/20,6,双层床,【四川】四川帝安姆家具用品有限公司召回部分“DAM01”帝安姆双层床,由于该型号中安全栏板顶边与床铺面上表面的距离、标记线、连接两脚踏板上的表面间距、上下铺面之间的净空距离不符合标准要求，存在安全隐患，有涉及人身安全的风险。 ,安全栏板顶边与床铺面上表面的距离、标记线、连接两脚踏板上的表面间距、上下铺面之间的净空距离,危害人身安全,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200721_92544.html,,,,,,,
,7,家用电器及电器附件,2020/7/20,1986,饮水机,【四川】四川鑫安洁尔科技有限公司召回部分“JYLR－A550W”鑫安洁尔饮水机,由于该型号中对触及带电部件的防护、接地措施、螺钉和连接不符合要求，存在安全隐患，有涉及人身安全的风险。 ,带电部件的防护、接地措施、螺钉和连接,危害人身安全,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200721_92546.html,,,,,,,
,7,家具及建筑装饰装修材料,2020/7/20,16,双层床,【四川】成都七彩人生家具厂召回部分七彩人生挂梯双层床,由于该型号中安全栏板顶边与床铺面上表面的距离、标记线、安全栏板的长边中断长度、上下铺面之间的净空距离，安全栏板同一方向相邻阻挡构建净空间隙不符合标准要求，存在安全隐患，有涉及人身安全的风险。 ,安全栏板顶边与床铺面上表面的距离、标记线、安全栏板的长边中断长度、上下铺面之间的净空距离，安全栏板同一方向相邻阻挡构建净空间隙,危害人身安全,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202007/t20200721_92545.html,,,,,,,
