序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
322,其他 ,电锯,14岁~60岁,男女均可使用,灰尘多的环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/4/22,外罩不够牢固，可能破裂，使用者可能因此接触到带电部件。没有提供充分的安全警告信息。
323,其他 ,直发产品,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒荃类化合物,甲醛,是,化学,中国,2016/4/22,产品中含有过量甲醛（测得值高达4.7%）。甲醛可引起眼睛、皮肤和上呼吸道的刺激，长期接触可能会导致癌症。
324,日化,装饰性蜡烛套装,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/4/22,该蜡烛由于其形状特征、颜色和尺寸，可能会被误认为是食品。小部件易从产品上脱落，这可能使得儿童将其放进口中，误吞咽下。
325,食品相关产品,保温瓶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,化学,中国,2016/4/22,保温杯双层玻璃壁的隔板含有石棉纤维。如果保温瓶破裂，使用者可能吸入致癌的石棉纤维。
326,信息技术产品,带充电器手机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/4/22,充电器的主电路和次电路之间的绝缘性不足，这可能会引起电击。转换插头适配器的管脚缺少绝缘环套，所以当使用者插入插头时，可能会触摸到带电的管脚。插头适配器允许单极插入充电器中，使得剩余的带电管脚能够被接触到。
327,家用电器及电器附件,除雪机,14岁~60岁,男女均可使用,低温环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾、烧伤,中国,2016/4/26,除雪机可能过热，存在发生火灾和烧伤的危险。
328,家用电器及电器附件,无刷除雪机,14岁~60岁,男女均可使用,低温环境,正确的使用方式,高低温物质危害,高低温物质危害,高温物质危害,是,烧伤，火灾,中国,2016/4/26,产品使用时会过热，造成潜在的烧伤及火灾危险。
329,其他,棘轮绑带,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/4/26,棘轮装置的手柄在使用过程中可能失灵，导致装载的东西跌落，存在致消费者受伤的危险。
330,儿童用品,奶嘴及奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/4/28,装饰彩扣可能会从奶嘴夹的金属板上脱落，导致儿童窒息的危险。
331,儿童用品,磁性镖靶,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,受伤,中国,2016/4/29,玩具含有的高磁通量小磁铁容易脱落。若儿童误吞磁铁和其它金属物品，它们可能相互吸引，导致肠堵塞或穿孔。
332,儿童用品,磁性钓鱼玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎，受伤,中国,2016/4/29,钓鱼竿的塑料部分易被打开而释出小部件磁铁。幼童可能将其放入口中，导致哽咽。而且，若儿童误吞磁铁和其它金属物品，它们可能相互吸引，导致肠堵塞或穿孔。
333,儿童用品,化装舞会服装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,不透气,是,受伤，窒息,中国,2016/4/29,塑料包装袋太薄。若儿童拿来把玩，塑料可能附着在儿童口鼻上，导致窒息。此外，肘部下方悬挂的衣服装饰性物品太长，可能成为羁绊而致儿童受伤。
334,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,,中国,2016/4/29,娃娃的塑料材料含有DEHP（测得占重33.2%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
335,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/4/29,娃娃的塑料材料含有DEHP（测得占重高达20%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
336,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/4/29,娃娃头部的塑料材料含有DEHP（测得占重12.8%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
337,儿童用品,拖拉玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/4/29,玩具上的贴纸及其轮子易脱落，产生的小部件可能被儿童吞食或吸入。
338,儿童用品,玩具火车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/4/29,产品含有可能移动的部件（火车烟囱环）和易脱落的小部件（轮子和烟囱），若幼童将其放入口中，可能导致哽咽。
339,家具及建筑装饰装修材料,UV指甲灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,短路,是,割伤，电击,中国,2016/4/29,可接触到的金属部件仅靠基本绝缘与带电部件隔开，电源线无防搓捻保护。因此，电线可能松脱，使得可接触到的部件带电。此外，若发生内部短路，荧光灯可能爆炸，割伤使用者。
340,家具及建筑装饰装修材料,UV指甲灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,短路,是,割伤，电击，火灾,中国,2016/4/29,内部电线可能过热，导致火灾。可接触到的金属部件仅靠基本绝缘与带电部件隔开。电源线无防搓捻保护。因此，电线可能松脱，使得可接触到的部件带电。此外，若发生内部短路，荧光灯可能爆炸，割伤使用者。
341,家具及建筑装饰装修材料,UV指甲灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击，火灾,中国,2016/4/29,塑料盒抗热能力不足，可能过热而引发火灾。可接触到的金属部件仅靠基本绝缘与带电部件隔开。电源线带电末端未适当固定可能松脱，导致带电电线可被触及。
342,家具及建筑装饰装修材料,激光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,是,视力受损,中国,2016/4/29,缺少安全使用信息，可能导致使用者视力受损。
343,食品相关产品,热水瓶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,化学,中国,2016/4/29,热水瓶双层玻璃隔层中含有石棉纤维，如果热水瓶破裂，使用者可能吸入致癌的石棉纤维。
344,家用电器及电器附件 ,吊扇,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,飞行物体撞击,是,受伤,中国,2016/5/2,吊扇在反向通风模式下运行时，吊扇电机及相连的扇叶可能从底座脱落，造成吊扇电机和扇叶坠落。吊扇的安装说明包括安装辅助支撑电缆的安装说明。虽然吊扇在坠落时可以被辅助支撑电缆拉住，但还是有可能对站长吊扇下面的人造成伤害。
345,家用电器及电器附件,“Rival”牌电热水壶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烫伤、触电,中国,2016/5/3,加热元件失灵并破裂，可能会造成烫伤和触电的危险。
346,交通工具及相关产品,自行车前灯和尾灯,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烧伤,中国,2016/5/4,前灯和车尾灯过热，可能存在起火并导致烧伤的危险。
347,儿童用品,轻型奶嘴及奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,窒息,中国,2016/5/5,夹盖（装饰彩扣）可能会从奶嘴夹上脱落，造成儿童窒息的危险。
348,儿童用品,厨房玩具套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/6,厨房玩具的手柄易脱落，产生小部件。幼童可能将其放入口中，导致哽咽。
349,儿童用品,带有一个娃娃的医疗器械玩具套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/6,娃娃头部含有DEHP（测得占重20%）。这种邻苯二甲酸盐可能危害儿童健康，可能导致生殖系统损伤。此外，玩具还含有DINP（测得占重5%）。
350,儿童用品,儿童汽车座椅,39岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/5/6,约束系统无法在儿童受到撞击时保护儿童头部。在事故发生后，带扣不易打开。此外，产品缺少安全使用的相关信息。
351,儿童用品,儿童游泳短裤,58岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,受伤,中国,2016/5/6,短裤腰部的带子太长，可能成为儿童各种活动的羁绊，导致受伤。
352,儿童用品,肥皂泡玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,致病微生物危害,原核细胞微生物危害,其它,是,微生物,中国,2016/5/6,玩具里的肥皂液含有嗜温好氧菌（测量值达130000 cfu/ml）。而且其中一种型号(ref. 1638)还含有大肠杆菌（测量值达530 cfu/ml）。当溶液接触到口、手、眼睛或被吸入，可能导致接触性感染。
353,儿童用品,弓箭套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/6,易从箭上脱落的吸盘可能被儿童放入口中，堵塞呼吸道。
354,儿童用品,毛绒玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/6,吸盘易从玩具上脱落，幼童可能将其放入口中，导致哽咽。
355,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/6,娃娃头部含有DEHP（测得占重20%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
356,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/6,娃娃头部含有DEHP（测得占重20%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
357,儿童用品,拖拉玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/6,拉环易从拉绳上脱落，产生小部件。幼童可能将其放入口中，导致哽咽。
358,儿童用品,玩具口哨,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/6,小部件及吹口易从口哨中脱落。儿童可能将其放入口中，导致哽咽。
359,儿童用品,玩具枪套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/6,易从发射物上脱落的吸盘可能被儿童放入口中，堵塞呼吸道。
360,纺织品及服装鞋帽 ,女式凉鞋,不限年龄段,女,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铬及其化合物,是,化学,中国,2016/5/6,皮革中铬(VI) 含量太高（测得高达 8.7 mg/kg），铬(VI)是致敏性物质，可能引发过敏反应。
361,纺织品及服装鞋帽 ,女式凉鞋,不限年龄段,女,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铬及其化合物,是,化学,中国,2016/5/6,皮革中铬(VI) 含量太高（测得高达4.5 mg/kg），铬(VI)是致敏性物质，可能引发过敏反应。
362,纺织品及服装鞋帽 ,女式凉鞋,不限年龄段,女,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铬及其化合物,是,化学,中国,2016/5/6,鞋垫的皮革中铬(VI) 含量太高（测得高达21.9mg/kg），铬(VI)是致敏性物质，可能引发过敏反应。
363,纺织品及服装鞋帽 ,皮带,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铬及其化合物,是,化学,中国,2016/5/6,皮革中铬(VI) 含量太高（测得高达19 mg/kg），铬(VI)是致敏性物质，可能引发过敏反应。
364,家用电器及电器附件,电源延长线,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/6,电线固定处不牢靠，电线可能松脱，使得带电部件可被接触
365,日用杂品,小饰物,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,化学,中国,2016/5/6,小饰物含铅（测得占重高达95%）。铅对健康有害。
366,儿童用品,卡书,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/5/9,书背面镜子上的塑料保护膜易脱落，小片塑料膜可能会造成儿童窒息。
367,儿童用品,男童泳裤,37个月~96个月,男,正常使用环境,正确的使用方式,机械危害,动能危害,移动部件挤压,是,皮肤损伤,中国,2016/5/9,网眼布内衬可能会兜住并勒紧皮肤，造成皮肤损伤。
368,儿童用品,婴儿背带,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,跌落,中国,2016/5/11,腰部带扣可能断裂，存在导致背袋里的婴儿跌落的危险。
369,儿童用品,婴儿背带,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/5/11,腰部卡扣会断裂，可能造成婴儿坠落的危险。
370,其他,小型角磨机,14岁~60岁,男女均可使用,灰尘多的环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烧伤,中国,2016/5/11,角磨机在使用过程可能会过热，引起刷盖熔化并使刷架末端暴露在外，可能导致烧伤。
371,其他,小型角磨机,14岁~60岁,男女均可使用,灰尘多的环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,烫伤,中国,2016/5/11,角磨机在使用过程中可能过热，导致电刷盖融化，露出电刷把手末端，存在烫伤的危险。
372,儿童用品,奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/12,奶嘴夹上鲸鱼鳍和章鱼头易脱落，对儿童存在呛噎的危险。
373,儿童用品,儿童套装,46岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,受伤，勒毙,中国,2016/5/13,颈部带有自由末端的拉绳，以及腰部未固定的拉绳，可能成为儿童各种活动的羁绊，导致勒毙或受伤。
374,儿童用品,儿童鞋,49岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铬及其化合物,是,化学,中国,2016/5/13,鞋垫中铬(VI) 量太高（测量值达 4.8mg/kg）。铬(VI)是致敏性物质，可能引发过敏反应。
375,儿童用品,儿童运动衫,61岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,勒毙,中国,2016/5/13,兜帽内带有自由末端的拉绳可能成为儿童各种活动的羁绊，导致勒毙。
376,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/13,娃娃头部的塑料材料中含有DEHP（测得占重20%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
377,儿童用品,塑料娃娃套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/13,娃娃面部的塑料材料含有DEHP（测得占重24%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
378,儿童用品,拖拉玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/13,塑料蛋为小部件，幼童可能将其放入口中导致哽咽。
379,儿童用品,折叠式婴儿车,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,尖角,是,受伤,中国,2016/5/13,连接组成车篷框架的金属条存在可被接触的区域，暴露的边缘和突起的部件也可能导致儿童受伤。而且，在使用婴儿车时，前轮易断裂。
380,家具及建筑装饰装修材料,LED灯泡,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击,中国,2016/5/13,内部电线仅靠焊接链接，缺少机械固定。变压器的线圈可被触及。灯泡的金属部件可能带电，若灯泡被触及，使用者可能因此受到电击。
381,家具及建筑装饰装修材料,LED泛光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/13,内部接地电线未与灯体适当固定，导致电击时缺少保护。
382,家具及建筑装饰装修材料,可充电电筒,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,高/低压,是,电击，火灾,中国,2016/5/13,内置插头和插头适配器的管脚缺少绝缘环套。插头适配器可以只插入插头的其中一个管脚，使得剩余的带电管脚可被接触。LED的外壳可在充电时用手移除，使得带电部件可被接触。电线芯的横截面积不足：在短路的情况下，电线可能过热引发火灾。用以固定内置插头管脚位置的绝缘材料的耐热性和阻燃性不足。
383,家具及建筑装饰装修材料,可充电头灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,短路,是,电击，火灾,中国,2016/5/13,带有基本绝缘的头灯内部电线可能在调节头灯时，被固定螺丝的螺帽的锋利边缘刮坏。电池充电器的尺寸不对，当连接插头时，使用者可能因此触碰到插头的带电部件或带电连接线端子插座。电线芯的横截面积不足：在短路的情况下，电线可能过热。用以固定内置插头管脚位置的绝缘材料的耐热性和阻燃性不足，产品可能因此引发火灾。
384,家用电器及电器附件,旅行用插头转换器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/13,插入时可能只将一个管脚插入带电插座，留出另一个可被触及的带电管脚。若使用者触碰到带电的管脚，可能受到电击。
385,食品相关产品,热水瓶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,化学,中国,2016/5/13,热水瓶双层玻璃隔层中含有石棉纤维，如果热水瓶破裂，使用者可能吸入致癌的石棉纤维。
386,食品相关产品,热水瓶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,化学,中国,2016/5/13,热水瓶双层玻璃隔层中含有石棉纤维，如果热水瓶破裂，使用者可能吸入致癌的石棉纤维。
387,食品相关产品,热水瓶,14岁~60岁,男女均可使用,高温环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,化学,中国,2016/5/13,热水瓶双层玻璃隔层中含有石棉纤维，如果热水瓶破裂，使用者可能吸入致癌的石棉纤维。
388,儿童用品,儿童自行车,66岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/17,下巴托带上的磁性扣有一个小塑料盖和磁铁可能松弛脱落，存在呛噎的危险，磁铁还可能被儿童吞食。
389,家具及建筑装饰装修材料,多连灯烛台,不限年龄段,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,火灾,中国,2016/5/17,烛台在蜡烛燃烧过程中，可能融化，存在火灾的危险。
390,儿童用品,婴儿手推车,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,是,夹伤,中国,2016/5/18,在打开和合上手推车时，用以折叠手推车的铰链会被损坏，对消费者有夹伤的风险。
391,儿童用品,折叠式婴儿车,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,是,夹伤,中国,2016/5/18,在打开和折叠婴儿车时，用于折叠婴儿车的转轴可能会损坏，导致使用者夹伤的危险。
392,交通工具及相关产品,自行车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/5/18,自行车车架可能在上管链条处断裂，导致摔倒。
393,儿童用品,儿童化装舞会服装（带有帽子的睡衣）,26岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,是,化学,中国,2016/5/20,红色面料含有会释放芳香胺2-萘胺的偶氮染料（测量值达82 mg/kg）。当产品直接或长期与皮肤接触，芳香胺可能被皮肤吸收。芳香胺可能致癌、致细胞突变并影响生殖。
394,儿童用品,儿童医生玩具套装,54岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,窒息,中国,2016/5/20,玩具听诊器耳塞可能会脱落，对幼儿有窒息风险。
395,儿童用品,含蛋塑料天鹅,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,玩具含有小部件（如蛋），可能被儿童误吞，导致哽咽。
396,儿童用品,毛绒玩具和球,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,填充物,是,呛噎,中国,2016/5/20,由于某些接缝的缺陷，玩具的纤维填充材料易被儿童触及。填充材料若被儿童放入口中，会导致哽咽。
397,儿童用品,木质拼图,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20, 儿童容易接触到立方体内的小部件（如铃铛、木质滚轴，弹珠和旋转球）。幼童可能将其放入口中，导致哽咽。
398,儿童用品,木质音乐玩具（响板）,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,化学,中国,2016/5/20,木质玩具的红色和黄色漆含铅（测量值达 330 mg/kg）。接触到铅可能导致严重不可逆的神经中毒，特别是对于儿童。
399,儿童用品,哨子套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,玩具的发声元件若被拉扯或挑弄，可能松脱产生小部件。幼童可能将其放入口中，导致哽咽。
400,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/20,娃娃头部塑料材料含有DEHP（测得占重20.8%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
401,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/20,娃娃头部塑料材料含有DEHP（测得占重高于20%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤
402,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/20,娃娃头部塑料材料含有DEHP（测得占重高于20%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤
403,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/5/20,娃娃头部塑料材料含有DEHP和DBP（测得分别占重1.2%和15.2%）。这些邻苯二甲酸盐可能危害儿童健康，可能导致生殖系统损伤。
404,儿童用品,拖拉玩具电话,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,呛噎，勒毙，窒息,中国,2016/5/20,玩具上的贴纸易脱落产生小部件。幼童可能将其放入口中，导致哽咽。而且，玩具拉绳太长可能导致儿童在玩耍过程中勒毙。此外，塑料包装太薄。若儿童拿来把玩，塑料袋可能会附着在儿童口、鼻上，导致窒息。
405,儿童用品,玩具滑板车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,因为小部件（如轮子上的螺母）易脱落，产品存在哽咽的风险：儿童可能将小部件放入口中，导致哽咽。此外，滑板车稳定性不足，会导致儿童失去平衡而跌落。
406,儿童用品,玩具枪,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,发射物上的红色塑料吸盘易于脱落。儿童可能将其放入口中，导致哽咽。
407,儿童用品,摇铃,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,摇铃上的部分圆柱销没有正确粘牢，侧边可能脱落。若摇铃分离，里面的铃铛会掉出，幼童可能将其放入口中，导致哽咽。
408,儿童用品,摇铃套装,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,大象摇铃易破裂，产生的小部件可能被儿童放入口中，导致哽咽。
409,儿童用品,摇铃套装,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,摇铃可能会破裂，产生的小部件可能会被幼童放入口中，导致哽咽。而且，某些摇铃的手柄太长，幼童可能将其放入口中时，堵塞呼吸道。
410,家具及建筑装饰装修材料,LED泛光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/20,电线缺少适当的防拉扯和揉捻保护，电线末端易被拉出来。PVC电缆线无适当的防水渗透保护。由于这些缺陷，使用者可能在正常使用过程中接触到带电部件，有电击的风险。
411,家具及建筑装饰装修材料,伸缩梯子,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/5/20,梯子机械稳定性不足，使用过程中可能发生弯曲或断裂，导致使用者从高处跌落。此外，梯级/台阶之间的空间不等，梯子没有完全展开时，使用者可能会踏空，失去平衡从高处跌落。而且，当某个梯级/台阶的锁定机制未锁定时，其上方的梯级可能快速下滑，夹伤使用者手指。
412,家具及建筑装饰装修材料,手电筒,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/20,电池充电器的电绝缘不足。主线路和次级线路的爬电距离太小。
413,家用电器及电器附件,电防蚊设备,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/20,产品外壳机械强度不足，可能导致带电部件可被接触。插入或从电源插座中移开设备时，插头管脚的带电部分可能被触及。
414,家用电器及电器附件,电源延长线,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/20,由于产品无接地导线，若本应接地的电器被连接，可能导致电击。
415,家用电器及电器附件,直发梳,14岁~60岁,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/20,电绝缘不足：通过基础绝缘与带电部件隔开的梳子金属部件可被接触，并且插塞式保险丝尺寸不当，这些均存在触电的危险。
416,交通工具及相关产品,自行车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/5/20,自行车的座管在使用时可能断裂，导致骑手受伤。
417,其他 ,汽车悬挂架,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/5/20,由于产品缺陷，产品可能断裂。若发生断裂事故，可能导致失去驾驶稳定性，增加事故风险。
418,日用杂品,装饰性葡萄,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,呛噎,中国,2016/5/20,由于其形态特征，颜色和大小，该装饰品会被误认为是食物。小部件易从产品上脱落，这可能导致儿童将其放入口中，误吞或咽下。
419,信息技术产品,USB电源供应器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/5/20,主线路和次级线路之间的绝缘不足，可能导致电击。
