序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
356,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,化学，呛噎,欧盟,2018/4/13,即使不使用任何工具，电池仓也很容易被打开，并且里面的纽扣电池易被接触。幼童可能会将其放入口中并吞食，导致呛噎或伤害胃肠道。
357,儿童用品,带糖果的玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/13,带塑料膜的贴纸容易从玩具上脱落形成小部件。幼童可能将其放进口中并呛噎。
358,儿童用品,沐浴玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/13,小部件（发条机制）容易从玩具上脱落。幼童可能将其放进口中并呛噎。
359,家具及建筑装饰装修材料,靠垫,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,火灾,欧盟,2018/4/13,靠垫的材料易燃。当持续一段时间内接触到引火源后会燃烧。
360,家用电器及电器附件,电吹风,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/4/13,插头的额定电流不足，电吹风所产生的电流会损坏插头，使带电部件容易被接触到。
361,家用电器及电器附件,UV美甲灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/13,PVC绝缘电线可能会过热，塑料外壳不耐热。易被接触的金属部位仅采用基础绝缘来隔离带电部件。塑料外壳着火会熔化。用户接触金属部件时会遭受电击。
362,家用电器及电器附件,电暖器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,烧伤，电击,欧盟,2018/4/13,电气绝缘性能不足。产品会过热。用户能接触带电部件，过热表面会使用户烫伤。
363,家具装饰装修材料,串灯组合,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,,割伤,美国,2018/4/17,该产品的玻璃罐在正常使用时可能会碎裂，有造成割伤的危险。
364,家具装饰装修材料,装饰靠垫,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,火灾,美国,2018/4/18,该产品遇到火源容易燃烧，有造成火灾的危险。
365,儿童用品,玩具木琴,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,窒息,美国,2018/4/19,该产品敲击棒一端的红色球可能脱落，有造成儿童窒息的危险
366,日用杂品,水瓶,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,,铅摄入,美国,2018/4/19,该粉色水瓶外部的粉色油漆含铅量超过联邦铅涂料标准。铅为有毒物质，摄入铅可能对儿童健康造成危害。
367,信息技术产品,便携式收音机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/20,电绝缘不足，导线的横截面过小。当为收音机充电时，可接触金属部位会带电，电线会过热。
368,儿童用品,奇装异服配件,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,,化学,欧盟,2018/4/20,产品含有DEHP（占重达22%），邻苯二甲酸盐会对儿童健康造成危害，可能对生殖系统产生损害。
369,儿童用品,水晶泥,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,,化学,欧盟,2018/4/20,黄色凝胶中的硼迁移量过高（测得：520 mg/kg）。摄入或接触过量的硼会损害儿童的生殖系统，从而危害儿童健康。
370,儿童用品,警察玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/20,塑料口哨（组件）可完全刚好放进圆柱件里，儿童会将口哨放进口中并呛噎。
371,儿童用品,弹力球,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,,化学,欧盟,2018/4/20,球的塑料材料含DEHP（占重达31.7%），邻苯二甲酸盐会对儿童健康造成危害，可能对生殖系统产生损害。
372,儿童用品,玩具购物篮,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,,化学,欧盟,2018/4/20,产品纺织纤维含DEHP（测得2.68%）。邻苯二甲酸盐会对儿童健康造成危害，可能对生殖系统产生损害。
373,儿童用品,塑料娃娃套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,,化学，环保,欧盟,2018/4/20,娃娃的塑料材料含DEHP、DBP、DINP（测得分别为23.9%、0.7%、3.51%）。邻苯二甲酸盐会对儿童健康造成危害，可能对生殖系统产生损害。 产品含有短链氯化石蜡（SCCPs）（测得值：3100mg/kg）。SCCPs持续存在于环境中，低浓度即对水生有机物有毒，并在野生动物和人类中生物积累，对人类健康和环境构成威胁。
374,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/20,电线过细，焊接到LED的电线终端没有恰当保护以防止拉扯和扭断，插座允许插头的单极插入。电线容易过热导致着火，带电部位会被用户接触。
375,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/20,电线过细，焊接到LED的电线终端没有恰当保护以防止拉扯和扭断，插座允许插头的单极插入。电线容易过热导致着火，带电部位会被用户接触。
376,家用电器,压力地面清洁机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤,美国,2018/4/20,该产品的喷雾杆可能断裂，从中心毂脱离，导致破碎片击中消费者，有造成消费者受伤的危险。
377,家用电器及电器附件,功率转换器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/4/20,初级和次级电路之间无隔断，插座的保护挡板不足，使带电部件易被接触，用户接触可触碰部件时会遭到电击。
378,文教体育用品,纹身墨水,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,铅及其化合物,,化学,欧盟,2018/4/20,该产品含有砷（占重达8.0 mg/kg），钴（26 mg/kg），铅（13 mg/kg），和锌（200 mg/kg）。砷会致癌。接触铅对人体健康有害，会导致发育期神经毒性。 欧洲理事会决议ResAP(2008)1针对纹身及永久性化妆品安全性的要求和准则建议，纹身墨水中的砷和铅含量不能超过2mg/kg，钴含量不能超过25mg/kg，锌含量不能超过50mg/kg。
379,文教体育用品,纹身墨水,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,铅及其化合物,,化学,欧盟,2018/4/20,产品含有芳香胺苯胺（占重达9.5 mg/kg），苯胺可能会导致基因缺陷和癌症，接触皮肤时有毒。 欧洲理事会决议ResAP(2008)1针对纹身及永久性化妆品安全性的要求和准则建议，在纹身和永久性化妆品中不应出现或从偶氮染料中释放出含有致癌、诱变、生殖毒性或致敏性的芳香胺。
380,文教体育用品,纹身墨水,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,铅及其化合物,,化学,欧盟,2018/4/20,该产品含有砷（占重达8.1 mg/kg），铅（24 mg/kg）和锌（170 mg/kg）。砷会致癌。接触铅对人体健康有害，会导致发育期神经毒性。 欧洲理事会决议ResAP(2008)1针对纹身及永久性化妆品安全性的要求和准则建议，纹身墨水中的砷和铅含量不能超过2mg/kg，锌含量不能超过50mg/kg。
381,家用电器,吊扇,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤、冲击,美国,2018/4/25,该产品连接吊扇叶片的支架可能断裂，从而使叶片掉落，有造成冲击的危险。
382,儿童用品,恐龙玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/27,玩具上的贴纸易脱落，幼童会将小部件放进口中及呛噎。
383,儿童用品,玩具乐器,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/27,琴键上的按钮易脱落形成小部件，幼童会将小部件放进口中及呛噎。
384,儿童用品,木制拼图钟,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/27,小部件（指针、拼图块的塑料楔子、塑料涂层）易脱落，幼童会将小部件放进口中及呛噎。
385,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,,化学,欧盟,2018/4/27,娃娃塑料材料含DEHP（占重达13.8%），邻苯二甲酸盐会对儿童健康造成危害，可能对生殖系统产生损害。
386,儿童用品,玩具娃娃手推车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,,受伤,欧盟,2018/4/27,手推车只有一个锁定机制，当其竖立时无法自动啮合，因此当手推车折叠时，用户手指有夹在活动部位之间的风险。
387,儿童用品,儿童化妆舞会服装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,勒毙,欧盟,2018/4/27,衣服颈部部位有带自由端的拉绳，儿童进行各种活动时会被缠住，导致勒毙。
388,儿童用品,玩具吉他,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,勒毙,欧盟,2018/4/27,玩具吉他的带子没有快速松解机制，当被挂在颈部使用时，儿童进行各种活动时会被缠住，导致勒毙。
389,儿童用品,玩具毛绒背包,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,其它,,化学,欧盟,2018/4/27,毛绒熊的鞋子的塑料材料含有DEHP（测得占重17.3%）。邻苯二甲酸盐会对儿童健康造成危害，可能对生殖系统产生损害。
390,儿童用品,玩具乐器,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/4/27,部件（钟锤/摇铃里的球）易从玩具上脱落，幼童会将小部件放进口中及呛噎。
391,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/27,电缆没有被适当地固定，易被接触的电线只有基础绝缘且电缆过细。电线基本绝缘层会脱落或被损坏，用户能接触到带电导体，从而触电。电线会过热引发火灾。
392,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/27,电缆没有被适当地固定，易被接触的电线只有基础绝缘且电缆过细。电线基本绝缘层会脱落或被损坏，用户能接触到带电导体，从而触电。电线会过热引发火灾。
393,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/27,电缆没有被适当地固定，易被接触的电线只有基础绝缘且电缆过细。电线基本绝缘层会脱落或被损坏，用户能接触到带电导体，从而触电。电线会过热引发火灾。
394,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/27,电缆没有被适当地固定，易被接触的电线只有基础绝缘且电缆过细。电线基本绝缘层会脱落或被损坏，用户能接触到带电导体，从而触电。电线会过热引发火灾。
395,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击，火灾,欧盟,2018/4/27,电缆没有被适当地固定，易被接触的电线只有基础绝缘且电缆过细。电线基本绝缘层会脱落或被损坏，用户能接触到带电导体，从而触电。电线会过热引发火灾。
396,家具及建筑装饰装修材料,台灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,火灾,欧盟,2018/4/27,产品容易过热，因此会导致火灾。
397,家用电器及电器附件,电动搅拌机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/4/27,电绝缘性能不足，因此用户会遭受电击。
398,文教体育用品,胶水,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,氯气,,化学,欧盟,2018/4/27,该胶水含氯仿（测得占重：24.3%）。高浓度氯仿会导致皮肤过敏，若被吸入或吞入会损害健康。
399,日用杂品,新型打火机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,火灾,欧盟,2018/4/27,该产品对儿童有吸引力，儿童会玩弄产品并引发火灾。
400,日用杂品,新型打火机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,火灾,欧盟,2018/4/27,该产品对儿童有吸引力，儿童会玩弄产品并引发火灾。
401,日用杂品,切片器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,割伤,美国,2018/5/1,该产品的小刀片可从塑料配件上脱落，有造成割伤的危险。
402,服装纺织产品,开襟毛衫三件套,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,美国,2018/5/2,"该产品的棒形纽扣可脱落，存在导致儿童呛噎的危险。
"
403,儿童用品,儿童拼图垫,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/4,产品含有可拆卸的小部件。幼童可能将小部件放入口中，导致呛噎。
404,儿童用品,面具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,镍及其化合物,,化学,欧盟,2018/5/4,连接着橡皮带到面具的铆钉释放出的镍含量过高（测得占重达5.27 mg/cm²/week）。镍是一种强烈致敏物，如果存在于与皮肤长期直接接触的物品中，会引起过敏反应。
405,儿童用品,积木,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/4,玩具含有松动的小部件，幼童可能将小部件放入口中，导致呛噎。
406,儿童用品,充气塑料玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/5/4,玩具的塑料材料及其气阀含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重达12.3%）。这种邻苯二甲酸盐可能危害儿童健康，对生殖系统造成损害。
407,儿童用品,推拉玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/4,产品包含小部件（塑料蛋）。幼童可能将小部件放入口中，导致呛噎。
408,儿童用品,儿童夹克,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,勒毙,欧盟,2018/5/4,兜帽处的拉绳可能成为儿童各种活动中的羁绊，导致儿童勒毙。
409,儿童用品,毛绒玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/4,吸盘会从产品脱落，产品带有可拆卸的吸盘。幼童可能将小部件放入口中，导致呛噎。
410,儿童用品,儿童汽车座椅,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤,欧盟,2018/5/4,座椅两边的零件可能存在细小裂缝。发生意外时，儿童座椅壳可能会脱离底座，导致儿童或车内乘客受伤。
411,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"电击, 火灾",欧盟,2018/5/4,内线和外线的横截面过小。将导致缆线过热和着火。带电部件可被接触，因此用户接触带电部件时会因此遭受电击。
412,家具及建筑装饰装修材料,链锯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤,欧盟,2018/5/4,产品前护手盘会断裂，导致链刹机制无法自行运作。在反冲情况下用户会因转动中的链条而受伤。
413,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"电击, 火灾",欧盟,2018/5/4,缆线太细，电缆也没有被适当固定。可接触电线只有基本绝缘。基本绝缘电缆可能会脱离或被损坏，导致带电导体可被接触。电缆也会过热， 导致火灾。
414,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"电击, 火灾",欧盟,2018/5/4,缆线太细，电缆也没有被适当固定。可接触电线只有基本绝缘。基本绝缘电缆可能会脱离或被损坏，导致带电导体可被接触。电缆也会过热， 导致火灾。
415,家用电器及电器附件,台灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/5/4,电缆固定处不紧固，电缆可能会脱离，导致带电导体可被接触。
416,文教体育用品,卡丁车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,割伤、撞击,美国,2018/5/8,该产品的方向盘在使用过程中可能会从车上脱落、断裂或碎裂，存在幼童割伤或受撞击的危险。
417,服装纺织产品,女士丝巾,不限年龄段,女,正常使用环境,正确的使用方式,,,,,烧伤,美国,2018/5/9,该产品不符合联邦服装纺织品可燃性标准，有造成消费者被烧伤的危险。
418,儿童用品,儿童沐浴玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,美国,2018/5/10,该产品会断裂形成小部件，存在幼童呛噎的危险。
419,家用电器,迷你油炸锅,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,火灾、烧伤,美国,2018/5/10,该产品的加热部件可能会过热，有造成火灾和烧伤的危险
420,交通工具及相关产品,摩托车,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,,受伤,欧盟,2018/5/11,产品的前制动泵可能存有缺陷。在特殊情况下可能会导致刹车距离拉长。
421,儿童用品,水枪,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,,受伤,欧盟,2018/5/11,产品的扳机设计不合理。扳机的可移动部分和固定部分可能会卡住儿童手指，导致受伤。
422,儿童用品,毛绒玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,"化学, 呛噎",欧盟,2018/5/11,玩具的塑料吸盘含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重28.3%）。此类邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。此外，儿童可能会将玩具中易脱落的吸盘放入口中，导致呛噎。
423,儿童用品,沙滩玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/11,粉色城堡模型易碎裂成小部件，幼童可能将小部件放入口中，导致呛噎。
424,儿童用品,玩具直升飞机,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/11,小部件（塑料轮和底座）容易从玩具脱落。幼童可能会将小部件放入口中，导致呛噎。
425,儿童用品,积木闹钟,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/11,闹钟指针为小部件，容易脱落。幼童可能将小部件放入口中，导致呛噎。
426,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/11,娃娃手臂为小部件，易脱落。幼童可能会将小部件放入口中，导致呛噎。
427,儿童用品,玩具车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/11,汽车天线和警笛易脱落形成小部件。幼童可能会将小部件放入口中，导致呛噎。
428,儿童用品,膨胀玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,"呛噎, 受伤",欧盟,2018/5/11,产品带有的恐龙和球为小部件。幼童可能会将小部件放入口中，导致呛噎。此外，恐龙和球遇水后体积会膨胀6倍。若幼童将其放入口中并吞食，小部件接触唾液或胃液后会膨胀，导致儿童呼吸道堵塞和肠梗阻。
429,儿童用品,厨房玩具套装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/5/11,玩具炊具上的控制开关易脱落形成小部件。幼童可能会将小部件放入口中，导致呛噎。
430,儿童用品,厨房玩具套装,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息,欧盟,2018/5/11,糖碗呈半球形，容易覆盖住儿童口鼻，导致窒息。
431,儿童用品,儿童增高辅助椅,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,受伤，窒息,欧盟,2018/5/11,座椅无合适的锁定装置、约束和固定系统，儿童可能会从座椅上摔落，导致受伤。此外，产品的塑料包装太薄并且太大，没有打孔。如果孩子拿来玩耍，塑料可能会覆盖住口鼻，导致窒息。
432,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/5/11,娃娃头部的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重高于15.8%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
433,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/5/11,娃娃的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重高于22.8%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
434,儿童用品,美人鱼娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/5/11,娃娃的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重高于29.5%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
435,儿童用品,水晶泥,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,,化学,欧盟,2018/5/11,产品含有硼（测得占重：3871 mg/kg）。摄入或接触过量硼可能会危害儿童健康，损伤生殖系统。
436,儿童用品,推拉玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,化学，呛噎,欧盟,2018/5/11,电池仓无需任何工具便可被打开，仓内的钮扣式电池易被接触。此外，小部件易从产品脱落幼童可能会将其放入口中，导致呛噎。若钮扣电池被吞食，会损害胃肠道。
437,儿童用品,肥皂泡液,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,,化学,欧盟,2018/5/11,产品没有按要求用希腊语标明使用方法的象形图、警告和操作说明。因此父母意识不到危险，而让儿童在不被照料的情况下使用产品。此外，儿童可能会吞食肥皂溶液，导致呕吐、腹泻或其他胃肠道紊乱情况。
438,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/5/11,娃娃的塑料材料含有邻苯二甲酸二-(2-乙基己基)酯（DEHP）（测得占重为31.7%）。这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
439,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/5/11,闪光部件容易进水，使用者触摸到可接触部分时，可能会遭受电击。
440,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"电击, 火灾",欧盟,2018/5/11,缆线太细，电缆也没有被适当固定。产品不防潮。可接触电线只有基本绝缘。基本绝缘电缆可能会脱离或损坏，导致带电导体可被接触。电缆也会过热，导致火灾。此外，水渗透至电缆内可能会造成电击。
441,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"电击, 火灾",欧盟,2018/5/11,缆线太细，电缆也没有被适当固定。可接触电线只有基本绝缘。基本绝缘电缆可能会脱离或损坏，导致带电导体可被接触。电缆也会过热，导致火灾。
442,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/5/11,电缆没有被适当固定。电缆可能会脱离，导致带电导体可被接触。
443,家用电器及电器附件,电暖器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,移动部件挤压,,烧伤,欧盟,2018/5/11,电暖器片可能会在使用过程中被施加压力，导致热油泄漏。
444,家用电器及电器附件,吹风机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"烧伤, 电击, 火灾",欧盟,2018/5/11,产品无过热保护装置，外壳的塑料材料易燃。吹风机可能会过热引起火灾。此外，熔化的塑料部分会导致烧伤，使得带电部件易被接触。
445,家用电器及电器附件,吹风机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"烧伤, 电击, 火灾",欧盟,2018/5/11,产品无过热保护装置，外壳的塑料材料易燃。吹风机可能会过热引起火灾。此外，熔化的塑料部分会导致烧伤，使得带电部件易被接触。电源电缆可能会脱离，导致带电导体可被接触。
446,文教体育用品,滑板,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,,受伤,欧盟,2018/5/11,滑板外轮廓圆滑度不足，边缘锋利，容易导致受伤。
447,文教体育用品,攀爬绳,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,,受伤,欧盟,2018/5/11,攀爬绳抗动载性能不足。绳子在使用过程中可能会断裂，导致攀爬者跌至地面而受伤。
448,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,噪声危害,,,,听力受损,欧盟,2018/5/11,声压级太大，因此，它会对听力造成损害。
449,家用电器,电锯,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,短路,,割伤,美国,2018/5/14,该产品的电源开关可能会出现故障，在使用者将按下电源关闭后电锯会继续运行，存在使用者受重伤的风险。
450,日用杂品,烛台,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,火灾、烧伤,美国,2018/5/15,可能会燃烧，存在火灾和烧伤的风险。
451,交通工具及相关产品,制陶轮套装,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,火灾、烧伤,美国,2018/5/17,该产品的电池仓可能会过热，存在火灾和烧伤的风险。
452,文教体育用品,蜡笔,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,割伤,美国,2018/5/17,红色蜡笔可能会含有玻璃，有造成使用者割伤的风险。
453,日用杂品,旋转艺术绘画套装,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,火灾、烧伤,美国,2018/5/17,该产品的电池仓可能会过热，存在火灾和烧伤的风险。
