	日期	事件标题	区域	消费品名称	涉及的消费品数量	伤害事件	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	[高低]电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
28	2021-08-27	真我GT neo手机质量差内屏黑屏	空	空	1	手机在兜里放着拿出来后竟然屏幕黑了，外屏完好，内屏初中黑印，2000多的手机质量尽然这样太虚假宣传了，现在开机没有屏幕显示，俗称游戏手机质量竟然这么差太欺骗消费者了，需要黑猫给予惩罚。	空	空	https://tousu.sina.com.cn/complaint/view/17354644778/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
29	2021-09-02	magic助手在未通知本人的情况下自动扣费	空	空	1	本人最近发现5月17日有一笔未经过本人同便扣掉298元给magic助手，查遍全网都找不到magic助手官方电话联系方式，现诉求是退回全部款项。	空	空	https://tousu.sina.com.cn/complaint/view/17354739493/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
30	2021-09-06	莫名其妙自动被扣269元	空	空	1	在完全不知情的情况下扣费，app已经删除要求退费，而且上面显示试用期3天，我并没有用超过3天。	空	空	https://tousu.sina.com.cn/complaint/view/17354806393/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
31	2021-09-06	人脸识别显示前置摄像头被占用，	空	空	1	人脸识别前置摄像头显示被占用，无法用前置摄像头拍照录像，打开前置摄像头就会黑屏闪退等	空	空	https://tousu.sina.com.cn/complaint/view/17354804414/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
32	2021-09-08	手机优化大师恶意扣费268元	空	手机优化大师	1	手机优化大师app使用前没有明确告知会扣费，扣费之前也沒有提醒	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354842527/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
33	2021-09-11	非本人操作下单的 莫名其妙又扣款	空	空	1	要求退款 怎么才能退钱 给个说法 给个建议	空	空	https://tousu.sina.com.cn/complaint/view/17354890714/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
34	2021-09-11	从未订阅也没安装过次软件 就被不知情订阅并扣费	空	手机优化大师	1	手机优化大师在我完全不知情的情况下给我定了季度高级会员，并从我微信零钱里面自动扣除268元。我现在要求立即退款，停止服务，并停止一切不法行为。	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354887204/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
35	2021-09-16	我在看抖音时出现手机优化大师界面就下载了，并未购买订阅,被自动扣款268元。	空	空	1	在未经我同意就强行从微信自动扣款，我要求给我全额退款。	空	空	https://tousu.sina.com.cn/complaint/view/17354975799/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
36	2021-09-17	在本人不知情的情况下Cleaner手机管家自动扣费388元，	空	Cleaner手机管家	1	本人下载Cleaner手机管家，并未使用。在本人不知情的情况下软件自动从本人的花呗自动扣费388元	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354986735/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
37	2021-09-10	在我不知情的情况下他自动续费	空	空	1	在我不知情的情况下自动续费 没法申请退款	空	空	https://tousu.sina.com.cn/complaint/view/17354877385/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
38	2021-09-16	realme x手机升降摄像头无故闪退黑屏	空	e 	1	realme x手机正常使用，每天正常用手机前置摄像头解锁，今晚上用的时候提示手机摄像头被占用，然后闪退，重启也不可以，人脸解锁提示摄像头被占用。希望realme能免费帮我处理了，	交通工具及相关产品	空	https://tousu.sina.com.cn/complaint/view/17354985816/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	夜间	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
39	2021-09-14	手机优化大师-相册优化管家乱收费	空	空	1	当时免费试用三天之后未经同意，于9月11号直接扣费268元	空	空	https://tousu.sina.com.cn/complaint/view/17354941862/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
40	2021-09-11	从未订阅也没安装过次软件 就被不知情订阅并扣费	空	手机优化大师	1	手机优化大师在我完全不知情的情况下给我定了季度高级会员，并从我微信零钱里面自动扣除268元。我现在要求立即退款，停止服务，并停止一切不法行为。	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354887204/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
41	2021-09-10	在我不知情的情况下他自动续费	空	空	1	在我不知情的情况下自动续费 没法申请退款	空	空	https://tousu.sina.com.cn/complaint/view/17354877385/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
42	2021-09-13	真我官网不给退碎屏险	空	空	1	手机买来因为有质量问题拿去售后说给退，但是实体店不退，无奈只能换货，换来的新手机我给别人用了，想退碎屏险。但是官网不给退。请求退碎屏险。但是也没有告诉我说碎屏险不能退或者是怎样，我是直接找到的客服，客服买之前我咨询也没告诉我不能退，售后也没告诉我不能退，霸王条款。耍无赖。	空	空	https://tousu.sina.com.cn/complaint/view/17354921398/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
43	2021-09-16	我在看抖音时出现手机优化大师界面就下载了，并未购买订阅,被自动扣款268元。	空	空	1	在未经我同意就强行从微信自动扣款，我要求给我全额退款。	空	空	https://tousu.sina.com.cn/complaint/view/17354975799/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
44	2021-09-17	在本人不知情的情况下Cleaner手机管家自动扣费388元，	空	Cleaner手机管家	1	本人下载Cleaner手机管家，并未使用。在本人不知情的情况下软件自动从本人的花呗自动扣费388元	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354986735/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
45	2021-09-16	realme x手机升降摄像头无故闪退黑屏	空	e 	1	realme x手机正常使用，每天正常用手机前置摄像头解锁，今晚上用的时候提示手机摄像头被占用，然后闪退，重启也不可以，人脸解锁提示摄像头被占用。希望realme能免费帮我处理了，	交通工具及相关产品	空	https://tousu.sina.com.cn/complaint/view/17354985816/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	夜间	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
46	2021-08-30	手机优化大师软件没在手机本人同意下强迫扣款268元人民币现在要求退还	空	手机优化大师	1	我在抖音上面看到手机优化大师广告，我并下载了手机优化大师APP之后也没操作什么，它却在2021年8月30号3点左右自动扣款我268元钱现在我要求他退款于我	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354689448/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
47	2021-08-22	淘宝店铺realme官方旗舰店欺诈	空	e 	1	本人8月7日在淘宝realme 官方旗舰店下单一款realme GT 大师探索版手机，至今未发货，多次催促，客服以交通管制为由拒绝发货，本人求证顺丰快递，顺丰方表示可以正常到货，我发送截图给客服，客服表示再次对接能发货了，保证这两天安排发货，今天再次询问发货情况，换了个客服又转口说不能发了，又说管制，明摆着店大欺客...	交通工具及相关产品	空	https://tousu.sina.com.cn/complaint/view/17354575089/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
48	2021-08-30	下载了个优化大师都没订阅 莫名其妙的扣款	空	空	1	前几天还充电宝 说什么有机有风险 要下载优化大师 上面显示实用三天 自己都没有点什么订阅 今天莫名其妙的扣款	空	空	https://tousu.sina.com.cn/complaint/view/17354697278/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
49	2021-08-29	优化大师	空	空	1	该优化大师软件在我不知情的情况下自动扣款，需退款	空	空	https://tousu.sina.com.cn/complaint/view/17354686067/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
50	2021-09-04	组了活动价格的云手机使用未达效果不给退款	空	多多云手机	1	打开多多云手机app组机，为了达到游戏效果租了个服务一个月68，使用后游戏启动不了，与客服要求退款 一口拒绝然后说事先有测试提示 测试后付款是不给退款 我问客服测试体验在哪里，他给我说的还是需要下单租几天而且不是我定的这款租机款项肯定体验不到，现在租的玩不了游戏，客服要么不给回答，要么就是换新客服重新走...	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354779772/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
51	2021-09-13	手机定位他迹软件欺骗用后	空	空	1	手机定位他迹软件，页面显示购买会员可以输入他人手机查看他人的定位，用户须知最后一项打勾也是只有一行字，不点开根本无法知道需和对方加好友，对方通过，才可以查定位，当你购买了对员才发现，存在欺骗，希望退款	空	空	https://tousu.sina.com.cn/complaint/view/17354930446/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
52	2021-09-11	手机系统升级导致手机出现质量问题	空	空	1	我在升级完最近系统的不到一天时间，手机realmex的前置摄像头不能打开一直呗占用	空	空	https://tousu.sina.com.cn/complaint/view/17354895539/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
53	2021-08-18	手机优化大师app在我不知情的情况下自动扣费！！	空	手机优化大师	1	手机优化大师app在我不知情的情况下自动扣费268元，并开通续费模式，申请退款	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354504607/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
54	2021-09-02	magic助手在未通知本人的情况下自动扣费	空	空	1	本人最近发现5月17日有一笔未经过本人同便扣掉298元给magic助手，查遍全网都找不到magic助手官方电话联系方式，现诉求是退回全部款项。	空	空	https://tousu.sina.com.cn/complaint/view/17354739493/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
55	2021-08-27	真我GT neo手机质量差内屏黑屏	空	空	1	手机在兜里放着拿出来后竟然屏幕黑了，外屏完好，内屏初中黑印，2000多的手机质量尽然这样太虚假宣传了，现在开机没有屏幕显示，俗称游戏手机质量竟然这么差太欺骗消费者了，需要黑猫给予惩罚。	空	空	https://tousu.sina.com.cn/complaint/view/17354644778/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
56	2021-08-23	我的手机因充不了电在realme官网寄修但至今已过了10天还未寄回至今下落不明。	空	空	1	本人于8月13日由顺丰寄出手机，据顺丰显示其维修人员唐翔已于8月14日签收。等到8月15日1629其发来消息表示我的手机RMX3142已经维修完成并给出寄回单号SF1320680523***，但经本人查询也过问了顺丰客服此单号详细信息为空白。此后几日我都有询问过客服但都未得到准确的答复。于8月18日客服打电话给我说因我要求等我联系他...	空	空	https://tousu.sina.com.cn/complaint/view/17354581865/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
57	2021-08-22	系统更新问题	空	空	1	x50pro系统长时间不更新，询问客服也是会催促的，然后每次都没有结果。	空	空	https://tousu.sina.com.cn/complaint/view/17354568749/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
