序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
339,疫情取消了夏令营不退款,2021-08-11,https://tousu.sina.com.cn/complaint/view/17354403486/,投诉,童年智造kidmadeto,退款,7月30日取消了8.7日的夏令营，答应了退款，但是说要10-12周处理。我说这是不合理的。想尽快解决，得到退款。,处理中
340,请英语小神童退芽芽班和苗苗班报名费4899元,2021-08-12,https://tousu.sina.com.cn/complaint/view/17354415064/,投诉,英语小神童官方,退款,2019.12.17给13个月的宝宝报名了英语小神童芽芽班和苗苗班线上课程，共计4899元，但是由于宝宝太小，课程主要是视频观看为主，所以只给宝宝听英文歌，2021年，宝宝2岁多开始跟宝宝一起上课，由于课程设计主要是视频观看，跟读，看英文儿歌动画，所以宝宝在2岁半体检时，医生发现宝宝有斜视和干眼症等问题和疾病，明确要...,处理中
341,购买树童英语两年半课程现突然曝出关门倒闭，退费无门,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349572/,投诉,东莞市石龙镇树童英语培训机构,退款,本人于2021年1月29日购买东莞市石龙树童英语培训中心的国际课程2年，费用11970元。并赠送980元幼儿半年课程包（单独支付980元可以上半年的课，截止到目前已经上完幼儿半年课程包，剩余两年课程刚上到第四次，于9月30号接到老师群里公告原定于10月6日的课程推迟至10月16日。但是，突然于10月7日晚上从一邻居（也是树童学...,待分配
342,金宝贝早教退款一直没到账,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354973825/,投诉,金宝贝儿童成长教育,退款,金宝贝亚奥中心早教，从申请退款到现在过去25天了，一直没给退款到账。也没有给明确的退款到账时间。,已回复
343,萌家BABY国际儿童摄影不退款,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355155886/,投诉,萌家BABY国际儿童摄影,退款,2021年9月22日萌家BABY儿童摄影上门给孩子照像，照相后办理套餐20000元，照相次数13次，当天办理后不满意客服以及拍照效果因此在当天就申请了办理退款，工作人员一直不给解决，经我多次催促，在9月24日电话沟通，相关人员（15321007***）沟通告知要么扣4999元退费，要不改成10000元套餐，其他没得商量。我套餐20000元，...,处理中
344,格式化条款侵害消费者协议,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355198736/,投诉,金宝贝儿童成长教育,退款,2020年11月家里老人去购买金宝贝早教课程，因无法认同其教育理念，遂要求其机构退款，当时课程未上够三分之一，机构以协议背面的退款条件为由，回复仅退还一半课程费，家里老人认为很不合理，克服了自身家里的困难，继续带孩子按时上课，2021年9月28日，仍无法认同其教育理念，又要求对方退款，仍回复需按照协议背面条款...,处理中
345,金宝贝无锡宝龙店霸王条款不让退费,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355113000/,投诉,金宝贝儿童成长教育,"退款,解除合约",2020年10月购买了金宝贝课程，后来只去上了一节课，因为意外怀孕无法去上课，想退费商家不让，想转给别的宝妈，商家也不同意，一直拖着到了现在二宝出生四个月，我平日一个人带两个小孩，大宝也上了早拖班还要接送，商家电话来要我带二宝去上课，我根本腾不出时间，我又再次提出退费，商家依旧不肯，就一直拖到了现在。...,已回复
346,金宝贝未履行服务承诺 请求退款被拒,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355354847/,投诉,金宝贝儿童成长教育,退款,南京金宝贝弘阳店。于2020年第一次疫情后咨询，咨询时给出多项承诺，报名后并未完全履行，其中有我们当时报名时核心选择原因。之后对课程也并不满意，并未去上课，也并未享受任何机构服务。加上多次疫情反复，目前孩子已经超过3周岁并且就读幼儿园，完全没有早教必要及意义。提出要求退款。金宝贝退款协议完全属于格式条...,已回复
347,金宝贝霸王条款不退费,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355352703/,投诉,金宝贝儿童成长教育,"退款,解除合约",1、员工对于自己执念的教学理念无法接受，并且产生分歧 2、全课程只少了三节，没有实际的学习成果 3、我们孩子说话晚，不适合她们的教学模式，英语中文教学，并且并不管孩子学的怎样，因材施教，可老师好像更习惯性的去了解家庭背景和家长的过错 4对于上课开始，我们预约下午课程，早教中心并不能按照自己所排课程教学，...,已回复
348,树童英语跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319089/,投诉,深圳罗湖区树童英语培训中心,"退款,作出处罚",「树童英语」「深圳树童英语突然停课」夜晚突然接到该机构老师通知说需要维权，据了解该机构不仅拖欠员工工资，还隐瞒真相，每一天都没停止过收取费用，仅罗湖华丽校区就几百万学费了，目前全国分校大部分都停止营业，完全联系不上法人，现不仅学不了还退费无门，双减给了非法人合法理由违法，恳请相关部门给与帮助，谢...,待分配
349,虚假宣传微加盟，交钱后未能完成合同项目,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355306723/,投诉,广州树童教育顾问有限公司,退款,投资加盟树童英语，一年后合同到期，树童英语因为各位原因未能完成新建学校，现按照合同树童英语应退还投资加盟费130***,待分配
350,树童英语突然宣布停工停课,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355313217/,投诉,广东树童教育股份有限公司,"退款,继续上课",10月7日晚，孩子就读的树童英语华景校区在微信群突然宣布停工停课，孩子还有78节课没上，学费余额9450.5，投诉无门。 诉求：尽量把课上完，如果不能上，请退费,待分配
351,石家庄金宝贝课包退费要等11个月，不合理！,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355253007/,投诉,金宝贝儿童成长教育,尽快退款,20年10月13日给孩子购买的金宝贝的课包共花费11500元。因为疫情还有孩子身体原因期间上课次数有限，孩子今年上幼儿园了用不到了，提出退费，金宝贝方给出的答复是只能退70%，因为是自己提出的我认可退费金额，但是她们回复说要等到22年8月份才能办理，我拒绝！客服说往上反应也一直未有回复！,处理中
352,拖延退款,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355166601/,投诉,金宝贝儿童成长教育,退款,本人2019.5.12办理20074元早教课，后因搬家无法上课，要求退款，商家因疫情等各种原因不予办理，直到2021.6.12才审批完单据，并被告知要等到11月才能退款，中间数次沟通都没有结果，只能告知继续等待。且在未拿到钱时就要求签已收到退款确认单！,已回复
353,常州湖塘吾悦广场金宝贝霸王条款退费难,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355472793/,投诉,金宝贝儿童成长教育,退款,2020年10月份给宝宝买了金宝贝80节课的课包，费用16600元。报完没上几节课，孩子肺炎前后住院一个多月时间，就一直没去上课，后来过年又碰上新冠也一直在家没敢出去。我们总共买了80节课，只上了7节课，还剩73节课，现在要求金宝贝退还剩余的费用，原因：一是孩子要上托班了，用不到早教课了，二是家离金宝贝中心太远，...,已回复
354,徐州金宝贝搬校区，没办法去新校区，剩余的钱不给退,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354882859/,投诉,金宝贝儿童成长教育,退款,原先在徐州金宝贝彭城壹号校区上课，签合同的上课地点也在这，后来他们校区搬迁，离我家很远，没办法去上课，想去退剩下的课时费，但是各种说法不愿意退剩下的钱，各种扣款,已回复
355,萌家baby套路月子里的产妇，黑心商家,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354955357/,投诉,萌家BABY国际儿童摄影,"退款,道歉,作出处罚",萌家baby套路月子里的产妇，黑心商家，说找到比他们便宜的，可以把钱退给我，当然我没有这段话的证据，但我可以以自己的性命发誓，确实当着我家人的面说过。还有给医院好处让医院泄露我们的信息，还私自加了我家月嫂微信，让推荐客服，我都不知道这件事，实在可气。当天我要求退款，要收我一半钱，这简直是敲诈。昨天找...,处理中
356,北京乐融儿童之家来广营校区退费问题,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354589126/,投诉,乐融儿童之家,"退款,赔偿,解除合约",北京乐融儿童之家来广营校区故意拖延退费手续，承诺了退费情况之后又以员工离职为由拒绝退费，承诺一个月，改为一个半月，直到现在快两个月还没有退。所上课时数与实际存在差异，商家不承认。,处理中
357,承诺30个工作日退款，已超期未回复。希望尽快退款，不能在等。,2021-08-05,https://tousu.sina.com.cn/complaint/view/17354320419/,投诉,童程童美少儿编程教育,退款,承诺30个工作日退款，目前已经超期，希望两个工作日内完成退款。不能再等。毫无信用的公司,已完成
358,金宝贝早教中心乌鲁木齐经开万达店欺骗消费者，服务态度差,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354886092/,投诉,金宝贝儿童成长教育,"退款,道歉,改善服务",本人在2820.8.22号被金宝贝早教一位柒柒老师诱导购买一套早教课，当时并未告知是限时卡，而且，我家孩子才九个月，课程中却有绘画和陶艺课，试问，九个月大的孩子会什么绘画和陶艺，他们只让各位家长消费，确根本不会考虑孩子们能否上课。我家孩子过敏体质，有一节游泳课，我怕去游泳之后会过敏严重，想请他们调换一下，...,已回复
359,投诉北京的爱儿美摄影机构私自偷换底单欺诈消费者,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354833322/,投诉,爱儿美儿童摄影,"退款,道歉,作出处罚",投诉北京的爱儿美摄影机构，我家办了一万多套餐，共十多套，从2017年消费，每次都是拿着一个合同底单去，先交底单后拍照。今年消费时发现我手上一千多的底单要作废，说是之前有一次600多的没交单子；还有一套600多说是被消费掉了，2017年拍的是400多的一套，系统记录600多的单号 怀疑商家偷换底单，欺诈消费者。底单还在...,处理中
360,购买儿童拍摄套餐承诺带全部底片，选片要加价,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354831784/,投诉,爱儿美儿童摄影,"改善服务,补发赠品",2021.5月25日，经微信客服营销，期间跟客服确认 套餐499元，包含3套服装有100张底片22张精修，一本相册以及一个摆台，，之后客服给支付链接，直接支付交接订单号。 2021.8月13日，带孩子进店拍摄，当时前台核对购买套系，说拍照100张， 精修22张，但是套系备注269元，下面一行是备注499，我说我是499套系，当时工作人员...,处理中
361,金宝贝APP积分自动消失，虚假宣传,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355021092/,投诉,金宝贝儿童成长教育,"赔偿,退回积分相应的礼品",金宝贝早教多次购买线上课程送积分，app积分没有告知客户有效期，也无法查询积分有效期，只显示积分数量，连积分兑换渠道都找不到，连明细也无法查询，积分到期自动消失，app内没有客服可以咨询，无法售后,已回复
362,要求树童英语退培训费,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355361703/,投诉,绵阳市高新区树童英语培训,退培训费,6月30号在树童英语给孩子报的树童英语，8月遇到双减政策就不想再报这么长期的决定退费，18000元（课程：5年课程未上一节课）。 9月3号交的退费资料，工作人员说要三个月退我不同意，就说合同上也是一个月时间退，至今还未收到退费。忘平台能帮忙处理。,待分配
363,金宝贝苏州园区印象城店退费时间长，退款条件不合理,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355366768/,投诉,金宝贝儿童成长教育,退款,19年的时候给宝宝报名了金宝贝一共是90课时，后来因为疫情原因等宝宝总共上了16课时，剩余80课时，但是金宝贝的条款里确只能退一半费用，而且去办理退款的时候，工作人员明确不了退款时间，就说老板说起码要等三个月，后来一个多月过去，再次致电询问退款时间还是给不了答复，金宝贝也算是老牌的教育机构了，这样的处理...,已回复
364,苏州吴江区万象汇金宝贝霸王条款退费难！,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355376340/,投诉,金宝贝儿童成长教育,退款,2019年6月在没有上体验课的情况下在万象汇3楼金宝贝给孩子花了17200报了金宝贝的课包共100节课。因疫情原因，大部分课程被耽误了。随着孩子年龄增长，现在已经开始上幼儿园，之前早教课程也没必要上了。截至今年9月3日，还有58节课没有上，而金宝贝相关门店却称超过课时数一半以内，只退还总金额的五分之一。这不是霸王...,已回复
365,金宝贝上海金桥店退款周期较长,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355151788/,投诉,金宝贝儿童成长教育,退款,因家里原因，原订在金宝贝的课程，现申请退款，没上过课；贵院在9月16日已同意全额退款，但时间已过1周多，未收到退款；微信问销售，经过多方面沟通，销售回复要到12月底前才能退到帐（要90天），退款周期太长了，请尽快帮处理退款事宜,已回复
366,天津彩悦城纽约国际关闭不予退款,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355447875/,投诉,纽约国际儿童俱乐部,"退款,赔偿",从去年投诉到现在一直没有得到纽约国际的解决，没有人联系我，我也无法找到对方。一直没有处理。疫情已经过去一年了。纽约国际中心也变成其他培训了，希望黑猫能帮我追溯到北京商家并予以退款。非常感谢。,处理中
367,北京财富中心金宝贝霸王条款，退费难,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355024071/,投诉,金宝贝儿童成长教育,退款,"我于2019年在金宝贝早教中心北京财富中心店缴纳了26400元，报了该机构的早教课程共194节,后参加活动赠课6节，一共200节。其中2019-2020期间，孩子总共上课19节，其中10节为报课程送的6月龄前免费课，不在课包内，实际已消费金额为1360.82元。因为疫情原因，该早教机构多次关闭，过了孩子大运动发展期，未取得其声明上能...",已回复
368,商家态度不好，敷衍,2021-09-17,https://tousu.sina.com.cn/complaint/view/17355001241/,投诉,合肥西瓜味童话食品有限公司,"退款,赔偿,改善服务",一开始少十个手提袋，商家假装不知道，敷衍了事。后面又说要补偿，我也同意了，结果又开始玩消失。无良商家，信息都已读了还一直不回复，无语。,待分配
369,金宝贝早教转课,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354993211/,投诉,金宝贝儿童成长教育,"退款,解释,解除合约",在青岛北区保利广场金宝贝报名早教，共105节课剩余88节课，由于搬家到烟台要求转课，转过来只给60节课,已完成
370,霸王条款，拖延退款,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354947508/,投诉,金宝贝儿童成长教育,立刻退款,我先生于2019年11月10日在金宝贝早教中心龙华壹方天地店缴纳了27818元，报了该机构的早教课程共200节。其中2019-2020期间，孩子总共上课40节，旷课一次扣了一节课，共41节，包括注册费360元，实际已消费金额为6062.69元。因在该早教机构未取得其声明上能达到的早教效果。且孩子发育迟缓的客观原因，不是个人主观原因，无...,处理中
371,金宝贝上海金桥店退款周期较长,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355151788/,投诉,金宝贝儿童成长教育,退款,因家里原因，原订在金宝贝的课程，现申请退款，没上过课；贵院在9月16日已同意全额退款，但时间已过1周多，未收到退款；微信问销售，经过多方面沟通，销售回复要到12月底前才能退到帐（要90天），退款周期太长了，请尽快帮处理退款事宜,已回复
372,天津彩悦城纽约国际关闭不予退款,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355447875/,投诉,纽约国际儿童俱乐部,"退款,赔偿",从去年投诉到现在一直没有得到纽约国际的解决，没有人联系我，我也无法找到对方。一直没有处理。疫情已经过去一年了。纽约国际中心也变成其他培训了，希望黑猫能帮我追溯到北京商家并予以退款。非常感谢。,处理中
373,北京财富中心金宝贝霸王条款，退费难,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355024071/,投诉,金宝贝儿童成长教育,退款,"我于2019年在金宝贝早教中心北京财富中心店缴纳了26400元，报了该机构的早教课程共194节,后参加活动赠课6节，一共200节。其中2019-2020期间，孩子总共上课19节，其中10节为报课程送的6月龄前免费课，不在课包内，实际已消费金额为1360.82元。因为疫情原因，该早教机构多次关闭，过了孩子大运动发展期，未取得其声明上能...",已回复
374,退费返息一直各种理由推脱,2021-08-02,https://tousu.sina.com.cn/complaint/view/17354275935/,投诉,童程童美少儿编程教育,"退款,解释",今年初朋友介绍来的，报名c 高级课程，顾问老师推荐让分期付款，说开课后一个月退还给我。结果是2月份开课到现在一直不给退，售课老师和班主任各种理由推脱，还狡辩以前的售课老师已经离职，说的话是为了卖课自己承诺的。真是大开眼界，这么大公司竟然内部管理混乱到如此地步，给足了他们时间，太失望了,已回复
375,李沧区童话大风车艺术培训学校培训班解散不退费,2021-09-26,https://tousu.sina.com.cn/complaint/view/17355142446/,投诉,童话大风车艺术培训,退款,李沧区童话大风车艺术培训学校自主解散培训班，且不告知家长，不退费。多名家长多次联系学校负责人，负责人从不回复，不搭理，不解决，不退费。学校目前已不在原来地址，联系无果。,待分配
376,搬离原有城市，不给退款。,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355065247/,投诉,金宝贝儿童成长教育,退款,我是两个孩子的妈妈，大宝在金宝贝报了课上课五十多节需要上幼儿园了就停了，还剩一半的课程大概四五十节课，一开始咨询金宝贝的人，沟通无果，意思就是不给退，你可以上不给退，那时候没在意，又怀二胎了，想说哥哥的课给弟弟上，还是不行，必须买课才可以，在弟弟10个月的时候，又买了96节课，弟弟一去上课就感冒，流...,已回复
377,东莞金宝贝第一国际店拒不退款,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355341543/,投诉,金宝贝儿童成长教育,退款,2015年初在东莞第一国际店买的96课时包，1万多，至今2021.10月还剩余44课时，问老师，老师不退款，而且逃避问题，我们2019年就离开东莞了，在老家也没金宝贝～但是机构还是拒不退款，太霸王条款了，又不让转让课时～,已回复
378,重庆万象城金宝贝早教中心退款纠纷,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355105239/,投诉,金宝贝儿童成长教育,"退款,解除合约","2021年9月17日，在重庆市九龙坡区 华润万象城金宝贝早教中心咨询退费 事宜，因孩子上幼儿园时间冲突想把 早教中心剩下的课程退掉，总共120 节课（花费21468元)系统显示目前还 剩47节课未上，我们要求退还47节课 的费用,但早教中心工作人却说47节课其中有14节课是赠送的，实际课程只有33节课(价值6000左右)并告知我们一分...",已回复
379,投诉金宝贝早教中心（杨浦五角场创智中心）霸王条款退费要求扣除手续费25%,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355391260/,投诉,金宝贝儿童成长教育,退款,我原本在杨浦虹口龙之梦了解金宝贝早教，由于试课慎重我又选择了五角场创智中心，于是销售联系方式都留了。最终于2021年6月20日在杨浦五角场创智中心签订合同购买课程，当时售前销售承诺保价并且退课不扣手续费的。而我提出他们活动新的优惠政策和我购买课程有很大差异时，校长拖着没有及时跟进处理，后续我家孩子在上早...,已回复
380,1599儿童摄影套路消费,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355398497/,投诉,妈咪宝贝儿童摄影,"退款,作出处罚,解释,补底片",原定1599的拍摄80张照片挑选18张，另外62张需要另外付费，事先完全没有说起。说起来的时候有给我发另外一个2599的套餐，那时候已经拍好选片了，要是一开始这样说我们选不选这家都是个问题。,待分配
381,上海金宝贝早教中心（金桥国际店），不退费，霸王条款只能退小部分,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355444210/,投诉,金宝贝儿童成长教育,退款,于2019年买的122节早教课，因为疫情中间很长一段时间不开课。恢复上课后，又需要约课，排队，有好几次约课了但是约课老师说人满了上不了。现在手上是63节早教课，小朋友已经不适合金宝贝的课程，提出交涉，想要退课，但是无果，合同上纯粹霸王条款，不能退，所以只做了延长课程有效期的操作。然后我在线下了解到一样的合...,已回复
382,金宝贝退款慢并且退款难,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354946107/,投诉,金宝贝儿童成长教育,退款,在金宝贝给孩子报名，之后上的课不理想所以想退款，告知只能退一半，也妥协了 退一半就退一半，告诉三个月内就能退款，7月4日提出退款，之后就一直等待，早教中心从未联系过我们，就在前两天我们主动联系金宝贝，才告诉我们退款申请可以签字了，过去签字后告诉还需要再向上级报备，还需要大概三个月，来来回回这就半年，...,已回复
383,唐山市高新区迪迪之家摄影充值退费,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354935173/,投诉,唐山市迪迪之家儿童摄影,退款,"投诉问题类型利用预付费(卡)形式侵害消费者权益 投诉内容 2021年7月11日前往迪迪之家摄影选片，向我推销了1000元会员充值卡，当时消费了200元，卡内余额800元，但是商家设置种种条件约束使用，我不同意，现在请求核实后，维护我的合法权益，商家尽快退还我的余额800.消费应该本着平等、协商的原则，商家设置前置条件,侵...",待分配
384,树童培训不履行合同，到期不予退费，应退金额为65360元,2021-09-26,https://tousu.sina.com.cn/complaint/view/17355142718/,投诉,广东树童教育顾问有限公司,退款,2019年双方合同约定，家长共支付68800元，孩子在树童机构读英文，于2021年9月24日到期按95折返还家长，共应返还65360元，到期机构未退款，说只能分6期支付，家长不予同意，要求机构履行合同立即退费,待分配
385,杭州滨江宝龙创想童年协议保证退款一直拖着不退款,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355148633/,投诉,杭州创想童年滨江宝龙店,退款,我在杭州滨江宝龙创想童年报了乐高课程，一共8888，协议书上写着无条件退款，后面因为我们没时间去就要求退款，还没有开课过，他们也同意退款，但一直不走退款流程，后来我打投诉电话，他们答应走退款流程，结果还是一直拖，协议内原定二十个工作日内退款，但超过时限后还是没有退款到账，一直回复在走流程。怀疑他们资...,待分配
386,宁波金宝贝世纪东方中心霸王条款，不予退费，不悬挂营业执照,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355105029/,投诉,金宝贝儿童成长教育,退款,宁波金宝贝世纪东方中心利用霸王条款，格式化合同欺压家长，不给予正常退款，我们于2020年6月30日报课，2020年7月18日开始上课，报课总金额10999元，一共是60节课+6节赠送课，目前已上29节课，我们要求退回31节课的学费，中心强调本合同有效期为18个月，超过9个月就不予退钱，中心的格式化合同，根本不符合相关法律的规...,已回复
387,上海市金宝贝早教中心退款迟迟不放款,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355119854/,投诉,金宝贝儿童成长教育,"退款,赔偿",本人于7月中旬在浦东三林永泰路金谊广场金宝贝办理早教课程付款21000元的早教费用，签订合约时约定为开课前能全额退款。8月初因课时过多申请退款，但是销售答应8月底前退款。8月25日晚电话告知8月30日前能收到所有退款，但8月27日来点告知上海总部财务告知每月的月初及月末的1周不能放款，打印9月5日前退款，本人表示同...,已回复
388,商家不退款，诱导消费，霸王条款，隐性消费,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355304706/,投诉,杭州小阿华儿童摄影,退款,10月3号，门店工作人员上门给孩子拍照说是免费的，不到半小时拍好，说免费的只有4张，如果订下套餐，那么就可以多送几张，底片也给我们，然后又拿出套餐价格，说是订下什么套餐可以有优惠，被他们一系列的诱导下来，就昏头昏脑的付了钱。晚上老公下班回来，和他提了这个事，我老公就骂我这是他们的套路，不要拍，去拍了...,待分配
389,石家庄金宝贝课包退费要等11个月，不合理！,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355253007/,投诉,金宝贝儿童成长教育,尽快退款,20年10月13日给孩子购买的金宝贝的课包共花费11500元。因为疫情还有孩子身体原因期间上课次数有限，孩子今年上幼儿园了用不到了，提出退费，金宝贝方给出的答复是只能退70%，因为是自己提出的我认可退费金额，但是她们回复说要等到22年8月份才能办理，我拒绝！客服说往上反应也一直未有回复！,处理中
390,广东树童教育顾问有限公司 、广州市荔湾区卓威教育咨询有限公司拖欠反还会员费,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355183659/,投诉,广东树童教育顾问有限公司,退款,广州市荔湾区卓威教育咨询有限公司（下述简称卓威）属于广东树童教育顾问有限公司（下述简称树童教育）出资创立的公司以及属于旗下其中一家的连锁教育机构。 本人通过卓威教育的授课老师推介下告知树童教育有一项优质的游学会员项目。本人在卓威教育住所，与树童教育于2019年6月29日签署了两个小朋友的《树童英语游学会...,待分配
391,疫情取消了夏令营不退款,2021-08-11,https://tousu.sina.com.cn/complaint/view/17354403486/,投诉,童年智造kidmadeto,退款,7月30日取消了8.7日的夏令营，答应了退款，但是说要10-12周处理。我说这是不合理的。想尽快解决，得到退款。,处理中
392,一万多元的早教课只上了8节课退款只给退1/2'还各种克扣会员费礼物费,2021-08-21,https://tousu.sina.com.cn/complaint/view/17354549476/,投诉,金宝贝儿童成长教育,"退款,作出处罚",本人于2020年12月在该商家花了14300元买了商家96的课时包。商家当时有活动又送了16课时，总共112课时，另外赠送摇篮兔线上24课时，后来疫情原因到今年的7月份我们只上了8课时，孩子每次上课都哭接受不了所以想着协商退款。这时商家说退款的话赠送的16课时就不能赠送了，（该项就限制了消费者权利）而且赠送的24课时的摇...,已回复
393,虚假宣传微加盟，交钱后未能完成合同项目,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355306723/,投诉,广州树童教育顾问有限公司,退款,投资加盟树童英语，一年后合同到期，树童英语因为各位原因未能完成新建学校，现按照合同树童英语应退还投资加盟费130***,待分配
394,欺骗消费者,2021-08-10,https://tousu.sina.com.cn/complaint/view/17354382677/,投诉,米兔儿童会员,"退款,作出处罚",花了78块购买季度会员就是登录不上去，我家两个屋电视都这样，这就是个电视厂家的消费阴谋,处理中
395,乖乖兔儿童摄影办理套餐坑蒙客户,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355469322/,投诉,合肥乖乖兔儿童摄影省委店,"退款,赔偿,道歉,改善服务",本人在2017.311在乖乖兔儿童摄影步行街店办理了1888元拍摄套餐，套餐含3次拍照，第二次拍照是孩子周岁，当时选片时要删除底片，孩子那次表情特别丰富，每一张都拍的比较好，当时不想删，工作人员就是想要底片可以再次充值，这样你第三次底片可以全送给你，而且还加送摆台和外景拍摄。结果2021.1月我第三次拍摄，工作人员...,待分配
396,购买树童英语两年半课程现突然曝出关门倒闭，退费无门,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349572/,投诉,东莞市石龙镇树童英语培训机构,退款,本人于2021年1月29日购买东莞市石龙树童英语培训中心的国际课程2年，费用11970元。并赠送980元幼儿半年课程包（单独支付980元可以上半年的课，截止到目前已经上完幼儿半年课程包，剩余两年课程刚上到第四次，于9月30号接到老师群里公告原定于10月6日的课程推迟至10月16日。但是，突然于10月7日晚上从一邻居（也是树童学...,待分配
397,树童英语跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319089/,投诉,深圳罗湖区树童英语培训中心,"退款,作出处罚",「树童英语」「深圳树童英语突然停课」夜晚突然接到该机构老师通知说需要维权，据了解该机构不仅拖欠员工工资，还隐瞒真相，每一天都没停止过收取费用，仅罗湖华丽校区就几百万学费了，目前全国分校大部分都停止营业，完全联系不上法人，现不仅学不了还退费无门，双减给了非法人合法理由违法，恳请相关部门给与帮助，谢...,待分配
398,树童英语突然宣布停工停课,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355313217/,投诉,广东树童教育股份有限公司,"退款,继续上课",10月7日晚，孩子就读的树童英语华景校区在微信群突然宣布停工停课，孩子还有78节课没上，学费余额9450.5，投诉无门。 诉求：尽量把课上完，如果不能上，请退费,待分配
399,一直付不了钱，这笔订单一直都没有结束，系统判定逾期48天了，影响我芝麻信用分,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355393011/,投诉,深圳仙童科技网络有限公司,"作出处罚,改善服务",一直付不了钱，这笔订单一直都没有结束，系统判定逾期48天了，影响我芝麻信用分,待分配
400,东莞厚街树童英语培训中心,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355421571/,投诉,东莞厚街树童英语培训中心,退款,东莞厚街树童英语通过预售多年课程，承诺可随时退款，利用小程序使用多个经营主体收费，化整为零，非法吸取资金。现该校区突然停课停业，人去楼空，疑似卷款跑路，家长退费无门。,待分配
401,小阿福至今五年未联系我退款,2021-08-18,https://tousu.sina.com.cn/complaint/view/17354505503/,投诉,小阿福儿童摄影,退款,五年前小孩满月，小阿福上门推销了一款999拍照套餐，其后因老公重度心肌炎住院，我打电话要求小阿福退款，客服不同意，之后一直未联系我退款，一拖就是五年多,处理中
402,在小阿福武汉汉阳摩尔城店多次要求退费无结果,2021-08-18,https://tousu.sina.com.cn/complaint/view/17354513662/,投诉,小阿福儿童摄影,退款,在小阿福拍照共三次，实际成片质量一般，服务质量也一般，第一次拍照还充值5000元，后续拍照扣了一些钱，现在因为成片质量不满意，不想继续在小阿福拍照，想退卡内剩余的钱，找了三个工作人员，现在就是不断拖延找理由拒不退款，已经说了不满意他们拍摄的照片，居然还强人所难继续推其他店拍，前面除掉5000元的充值钱，...,处理中
