序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
14,京东三方卖家优益学玩具专营店退货不退款,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354790453/,投诉,京东客服,退款,我于8.16购买儿童车一辆 后拒收快递 单号为SF1320611096*** （请联系顺丰核实快递情况）顺丰快递回复8.25号卖家已确认收货 我多次申请退款卖家推脱拒绝 两次联系京东客服无效,已完成
15,拼多多客服不作为,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354823348/,投诉,拼多多客户服务,"退款,赔偿,道歉",购买的儿童车有问题开始找商家要求补发零件 商家答应补发 然而过了一个礼拜还没补发 导致期间小孩玩的时候脚被挤到了 然后我找拼多多客服反馈 情况 多多客服多次敷衍我求你已催促商家处理 到现在我都没见多多客服有什么作为,处理中
16,购都零元购活动，纯属欺诈,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354675635/,投诉,购都,"退款,赔偿,作出处罚",我抱着试试的心态，买了个儿童车，零元购的规则是72小时内发货，（我前两天看了下，把规则给改了，但我是没改之前买的）现在已经超过14天没发货，期间找过客服，并且要求退款，之后不光没受理，反而把我退款服务给关闭了。并且删除了一切聊天记录。,处理中
17,京东凤凰旗舰店无售后,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355315396/,投诉,京东客服,"作出处罚,改善服务,换货,维修",2019年双12在京东的凤凰旗舰店买了辆凤凰自行车（童车），因为没有上门安装服务，只能自行安装，安装后车骑着很重，试骑完就一直闲置至今。 现在想重新拿出来骑发现轮胎没气了，原来配的打气筒也打不了，不知道是轮胎坏了还是打气筒坏的。 联系凤凰自行车售后，线上客服对我的疑问只给出了一个“”，联系电话客服说完问...,已回复
18,卖家已发货，买家无理由拒收并申请全额退，咸鱼客服不作为全额退，造成卖家损失,2021-08-17,https://tousu.sina.com.cn/complaint/view/17354484430/,投诉,闲鱼官方客服,赔偿,我是卖家，出售几乎全新的爱德玛童车的遮阳蓬，已经发货，买家买后悔无理由拒收快递，并申请全额退款，咸鱼客服未与我核实情况下全额退款给买家，造成卖家损失运费，错过商品最佳售卖时间，请求赔偿。,处理中
19,洛聪品牌产品并非洛聪正品,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355210835/,投诉,京东客服,"退款,赔偿,道歉,作出处罚,改善服务,下架产品",9月27购买了一台洛聪儿童车，今天刚收到货，收到的同时发现包装和产品是第三方品牌产品并非洛聪品牌正品，商家这是打着洛聪品牌名义售卖其它无授权无保障品牌产品，这属于严重虚假宣传了，希望京东平台严肃处理这商家，这样卖产品不就是骗人，如果平台不处理，我会向当地电视台报道投诉，,已回复
20,商品质量太差,2021-08-07,https://tousu.sina.com.cn/complaint/view/17354353893/,投诉,拼多多客户服务,退货,儿童车购买到现在，推孩子使用不超过五次，车辆新旧可以看出，但是车后轮已经出现裂缝，刹车配件坏，车子推不动，商家建议购买配件，运费自理，我主张退货退款。,处理中
21,baby童车商城店,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354735688/,投诉,阿里客服,补退差价赠品,我老公在baby童车商城店花了2279元给孩子买了一辆儿童汽车，昨天到货后我自己在家为了安装方便用了自己的淘宝号找卖家询问售后问题，卖家以为我是新买家，不停给我发送消息，引导我下单，说下单给我团购价，给我送安全帽，然后在我表明身份后就不承认并且不处理，后我在商品评论区找到买家评论说客服给他最高配同款汽车...,处理中
22,还没有发货，不给退款，佳程酋长童车,2021-08-02,https://tousu.sina.com.cn/complaint/view/17354289656/,投诉,巨量引擎,退款,没有人工客服，全是机器人没有具体的处理问题,已完成
23,我就是商家，招到客服恶意投诉，拼多多平台处理不公正现在,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354569663/,投诉,拼多多客户服务,"赔偿,道歉",我是商家客服卖童车，顾客买童车要求加置物框，置物框加购是三元。顾客收到之后说是置物框不能盛重的东西粘置物框的魔术贴就会掉。我看了下视频确实会掉，但是好像装错了，给了顾客正确安装视频，并嘱咐装上以后魔术贴粘住就可以了。 然后顾客直接后台申请退款20说是质量问题，但是提供的资料信息图片都没有反映出车子质...,处理中
24,【小姨福利】儿童车适合男孩女孩3-5-8-10岁儿童车,2021-07-27,https://tousu.sina.com.cn/complaint/view/17354199853/,投诉,巨量引擎,"赔偿,作出处罚,按时发货",于7月2日在抖音平台小君自行车（抖音号xiaojunzixin)购买的儿童自行车，一直没有发货，期间问过店铺客服一直说在准备，到了最后发货期限24日，依然没有发货，商家还让等，随后投诉到了抖音客服，抖音在线客服说已经记录并反馈专员处理，可今天都27日了，根本没有人处理这个事情，问抖音客服就是说已经加急处理了。而同时...,已回复
25,拼多多店铺熊样玩具生活馆无证经营，虚假执照，售卖商品无3c认证,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355072381/,投诉,拼多多客户服务,"赔偿,道歉,作出处罚,改善服务,下架产品",我于九月二十日在拼多多店铺熊样玩具生活馆购买了一款指尖陀螺发光玩具儿童男孩女孩七彩夜光带灯手指上转成人指间减压玩具。且录有开箱视频。到货后发现此产品属于三无且无3c认证产品。于是跟商家要此产品的3c认证报告，商家却含糊其辞，发了一张模糊不清的虚假认证报告，我继续向商家要一张清楚的证书认证报告，商家却...,处理中
26,三无产品，商家店铺名称，豪狮汽车用品专营店 企业名称，韶关市豪狮商贸有限公司,2021-07-30,https://tousu.sina.com.cn/complaint/view/17354245971/,投诉,京东客服,"赔偿,道歉",本人2021年7月20日在他家公司购买了童车充电器收到货时发现产品里面无生产地址，合格证，和3c认证，商家哪里发货没有在京东上面给更新物流，然后收到货时发现是三无产品，联系商家，商家一开始不承认，后面直接承认了，但是商家哪里没有想处理，本人希望依法为我处理,已完成
27,广州臻善智能设备有限公司据不退款，请平台协助处理,2021-07-30,https://tousu.sina.com.cn/complaint/view/17354242979/,投诉,广州臻善智能设备有限公司,退款,本人于2021年通过微信远程代理甲方公司共享童车项目作为济南代理，名称为欧巴共享通车，合同内并无体现任何欧巴共享童车字样，属于虚假宣传，误导消费者，说给授权牌，至今未给到本人，签好合同后甲方派专人协助谈商场合作，跑偏了各大商场都没有一个原因合作的，之后提出去济宁也没有找到合作的，这些问题甲方协助人员...,待分配
28,京东客服对自营产品不予换货，包庇商家，不予处理,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354852704/,投诉,京东客服,"道歉,作出处罚,改善服务,解释,换货",2021年8月8日在京东网上购买京东自营产品“贝瑞佳牌玩具红色儿童车”一辆，订单号217201690***，价格1388元。 收货后因发现车身多处划痕并且音乐间盘声音有故障(申请页面有图片)，拍摄图片后身京东换货，京东审核后确认后同意换货。8月15日收到第一次更换的汽车。 更换来后发现不仅车身多处划痕，而且还有一块掉色现...,已完成
29,淘宝网baby童车商城店铺为拒收故意破坏商品,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354912793/,投诉,阿里客服,退款,我在淘宝网baby童车商城购买了一辆儿童汽车花费2279.9元，到货后发现卖家虚假定价，同款汽车只需要1800然后我要求卖家补差价卖家态度恶劣不同意，然后我选择七天无理由退货物流九月七日下午两点派送中，我等到九月八日早上还在派送中就打电话给物流了，物流说下午就送给她了，卖家拒收，说快递破损，在这之间物流没...,处理中
30,圆通快递到货四天不派件，派件后直接损坏。,2021-08-10,https://tousu.sina.com.cn/complaint/view/17354393879/,投诉,圆通速递,"赔偿解释,改善服务,退费","投诉圆通单号尾号7286，6078,1977，之前就有一直不派件的情况，没想到这一次延迟这么久。从8月3号到货，一直到8月7号都未送达。网点去了两次，一直没有开门，电话也一直没有打通过，投诉一直也没有得到妥善的解决。多次催促。没有得到任何解决，也并不是一次两次了。之前也有过。但是上海闵行马桥网点一直没有改善。给我...",已完成
31,商家售卖三无儿童用品,2021-07-12,https://tousu.sina.com.cn/complaint/view/17353996275/,投诉,抖音短视频,"退款,赔偿,作出处罚",本人于2021年7月5日在抖音小店《凯莉生活馆》购买了一辆儿童三轮车，收到货后发现该商品没有任何的产品质量信息，更是连生产地址都没有，严重违反产品质量法相关规定。属于三无产品，我的诉求是根据消费者权益保护法第55条进行赔偿。4[太阳] 儿童车拆包视频 https//v.douyin.com/esMe47E/ 复製Ci链接，打开Dou音搜索，...,已完成
32,阳阳童车馆,2021-07-01,https://tousu.sina.com.cn/complaint/view/17353839768/,投诉,阿里客服,"赔偿,改善服务,换货",去年买了一个婴儿车子，质保三年，售后无忧结果车子变形了，下面杆也断了，联系客服不理人，也不处理，,处理中
33,商家：童车小铺子 坑骗消费者,2021-07-06,https://tousu.sina.com.cn/complaint/view/17353916003/,投诉,阿里客服,"退款,赔偿,道歉,作出处罚",5.18于淘宝在商家童车小铺子购买了一辆儿童四驱车。5.23发现车子有质量问题。但商家不给退货。一直来来回回补寄零件。6.30厂家说车子有质量问题 需寄回去维修。但是由于问题是5.23 即收获第三天发现。所以选择退货。6.30将车子寄出。7.4日签收。由于普通快递不能运输电瓶所以选择物流。现在商家拒不承认收到货。运费不...,处理中
34,莫名其妙发短信说我投了什么保险！不需要！给我退了,2021-06-30,https://tousu.sina.com.cn/complaint/view/17353833593/,投诉,泰康保险集团,"改善服务,恢复账号",在商场租了厦门贝比科技公司的儿童车填信息的时候没注意到是广告，以为是租车的注册信息，还写了身份证号码和姓名，电话号码，然后就收到了好几条保险生成的电话，太无语了，泰康就是其中的一个不需要，给我退了,已完成
35,萨玛特童车店,2021-06-27,https://tousu.sina.com.cn/complaint/view/17353791569/,投诉,阿里客服,"赔偿,道歉,补发赠品",本来23号收到车 有问题 后来补发配件 老发不全 还坏了 来来回回折腾了半个月 我说补偿一下 不愿意就开始骂人 后来我也不跟他计较了 好评加追评 把赠品发全 12号就说发 今天都27号了 又半个月过去了 一点动静都没 投诉小二 说补我26 也没补 电话都打了100分钟了 话费去了不少 没结果 本来想怕不发就申请退款 收到再撤销 ...,处理中
36,中奖福袋，商家不发货并且拉黑,2021-06-29,https://tousu.sina.com.cn/complaint/view/17353818815/,投诉,抖音短视频,"赔偿,作出处罚",本人于2021年6月12号在一个名叫斜杠童车玩具源头厂家的抖音账号为568***的直播间，通过参与福袋中奖了一个儿童遛娃神器，商家承诺15天左右发货，可是等我看商家一直没发货，去找商家时候，才发现已经被拉黑了，没有办法在跟商家取得联系，抖音客服不作为，一直推脱，说这不关他们的事，致使我投诉无门，希望抖音官方出来...,已回复
37,因为东西质量问题，加上商家态度不好，所以给了差评，商家打电话对我进行威胁恐吓,2021-06-22,https://tousu.sina.com.cn/complaint/view/17353735950/,投诉,拼多多客户服务,"赔偿,道歉",因为买的童车质量有问题，给商家发信息，态度不好，所以给了差评，商家今天打电话过来对我的家人，进行辱骂，威胁我给他一万多块钱，对我进行恐吓，现在我心里十分害怕，要求对我进行相应的精神赔偿,处理中
38,商家强买强卖，商品到手叫我转售,2021-06-29,https://tousu.sina.com.cn/complaint/view/17353823036/,投诉,拼多多客户服务,"赔偿,作出处罚,改善服务,解释,修改宣传内容",在永久母婴旗舰店买了一台儿童车，标示标注110-140mm都可以骑，因为自行车属于标品，我小孩132mm，买回来组装好小孩一试就小了，找商家商家说我下单前未沟通，本来就小，商家说是我的问题，说我未找客服沟通，要我线下转售自行车，退回就要自己负责运费，然后说组装了不给退这一类的话，我的聊天资料里面就有这些,处理中
39,童年童趣童车店上三无产品，平台诱导退货后，不承认质量问题，退货运费不予补偿。,2021-06-23,https://tousu.sina.com.cn/complaint/view/17353745145/,投诉,拼多多客户服务,"赔偿,作出处罚","在该店购买玩具车后，发现如下问题 1.全车使用劣质塑料，气味特别大。 2.实物尺寸与销售主页尺寸相差太大，超出误差范围。 3.全车无任何标签、铭牌能显示生产厂家、地址,型号及整车、电瓶的合格检验。 4.仅从随车携带的安装说明书能看出一款型号为XGZ1088，而商家主页及通过联系商家多次获得的3C证书上均未含XGZ1088，...",处理中
40,喜德盛童车店提前日期取消券，同时抬高商品价格。,2021-06-09,https://tousu.sina.com.cn/complaint/view/17353564600/,投诉,京东客服,"改善服务,恢复优惠券,不退货，退差价",同样一款商品，同一天出现了相差120的差价。,已完成
41,奥山世纪城广场存在欺骗消费者，一天未营业不退押金不退房租,2021-06-08,https://tousu.sina.com.cn/complaint/view/17353555508/,投诉,奥山世纪城广场,退款,我在贵商场投放儿童共享童车的设备，从年前于2021年1月18日左右签订合同进场，车费，走电等工序后设备于奥山广场三楼，却被要求修改位置。在此前已签署完此地点合同的前提下要求重新安置设备地点。并且历经两月未找到合适地点安置。设备停放两月和前期投入等造成的损失暂且不论，现申请退出贵商场，以免造成更大损失，要...,待分配
42,京东自营美素佳儿旗舰店虚假宣传,2021-05-26,https://tousu.sina.com.cn/complaint/view/17353391072/,投诉,京东客服,"赔偿,发货",5月24日看到京东自营美素佳儿旗舰店618活动买奶粉送儿童车，询问客服如果现在全款下单是否也有儿童车送，客服回答有（如截图），但5月25日收到货无赠品而且京东自营客服不予处理。此投诉希望补发赠品儿童车或者赔款儿童车等额京豆200元。,已完成
43,广州市花都区融创天玥小区6、7、8栋大堂过道设计不合理事宜,2021-06-17,https://tousu.sina.com.cn/complaint/view/17353659578/,投诉,融创地产,还业主正常通道,一、融创天玥小区678栋一楼进出电梯厅的过道十分曲折且狭窄。6&7栋最窄处仅1.13米（两人并排不能通行），8栋过道仅宽1.03米。不满足无障碍通道最低1.2米的要求，一方面存在严重的消防安全和日常生活安全隐患，当事故发生时难以有效疏散。另一方面，如此狭长的过道既不符合相关规范要求，又对日后业主家具进出、搬抬、轮...,处理中
44,拼多多退店时，保证金不给退，显示资金安全保护中。,2021-05-30,https://tousu.sina.com.cn/complaint/view/17353444827/,投诉,拼多多客户服务,"退款,道歉,解释",（店铺214705***.坤源童车专营店）拼多多退店时，保证金不给退，显示资金安全保护中，现在过去4个月了，我申请退店，结果就是显示资金安全保护中，那时候打电话时说会给我及时处理，并给客服打电话说明情况客服说几个工作日会帮我处理，但是后面一直没有后续，现在人工客服也一直没有人接。我现在想退店，请官方给个说法...,处理中
45,诺童童车店,2021-05-20,https://tousu.sina.com.cn/complaint/view/17353319796/,投诉,拼多多客户服务,"退款,道歉",我买的时候是5月1，收到以后我就反馈说无法充电，商家说让我们联系售后，售后告诉我们不要充电，等自身电量彻底耗光，然后放在家里闲置了十来天，确定没电了，要充电依旧充不上电。联系商家商家也没有给出解决方案。平台也不管 而且商家没有营业执照。他的质量问题，然后让我把车寄回去，可是又不是我的问题，商家意思...,处理中
46,对于客户未有质量检测产品认定为商家产品质量问题，并予以扣除商家货款,2021-05-24,https://tousu.sina.com.cn/complaint/view/17353373862/,投诉,京东客服,"赔偿,道歉,改善服务",此单客户 下单时间2020-03-26购买商家超大号大G奔驰儿童电动车四轮汽车，金额2188元。订单完成时间 2020-03-29。客户反应维修后不能行走直线，为质量问题。在纠纷单明确没有我司责任，短信也告知无责。不需承担赔付。我司客服明确告知童车需要行进过程中握住方向盘，京东客服仍扣除我司货款。这已构成非法财产侵占，我司...,已完成
47,拼多多商家不发货，平台介入后没有经过我的本人允许强制退款，商家名称：爱豆童车,2021-05-27,https://tousu.sina.com.cn/complaint/view/17353406591/,投诉,拼多多客户服务,"赔偿,道歉,作出处罚,发货",在拼多多批发买了一批童车，商家不发货，不回复，申请拼多多平台介入，平台没有经过本人同意，直接强制退款，我要求给我发货，不发货赔偿我的损失。打了好几个电话给拼多多平台，说的很好听，处理结果就是已经退款，强制退款也没说明问题。简直就是流氓平台，购物体验极差，且造成我的个人损失，包庇商家，对消费者投诉...,处理中
48,优品儿童童车店质量问题不予承担退货费用,2021-05-21,https://tousu.sina.com.cn/complaint/view/17353342785/,投诉,拼多多客户服务,承担退货运费,买了台儿童自行车 有安全隐患质量问题 焊接口没焊接好 都裂开了 我要退货质量问题商家应该承担退货运费 商家不承认 说要我去外面维修 他赔偿我 还私下打我电话骚扰我,处理中
49,卖家出售三无产品，还有无3c产品还是无中文的,2021-06-11,https://tousu.sina.com.cn/complaint/view/17353599201/,投诉,拼多多客户服务,"赔偿,作出处罚,解释,下架产品,修改宣传内容",中文厂址、电话、许可证号、产品标志、生产日期、中文产品说明书、如有必要时还需要有限定性或提示性说明等等，凡是缺少的均视为不合格产品。上述要求缺少其中之一，均可视为三无产品 产品包装及产品本身都没有3C认证，据我所知发光带电的玩具没有3C那么就是我国明令禁止的产品，根据法律查询到。3C认证即国家强制性产品...,处理中
50,长鼻象童车店质量问题,2021-05-13,https://tousu.sina.com.cn/complaint/view/17353242242/,投诉,阿里客服,"赔偿,道歉,补发赠品",我在3月份买了一辆童车，5月初扶手断了，客服说是孩子的原因，趴在扶手上了，拒绝补发，还威胁我删除评论，我要求道歉，赔偿并补发扶手,处理中
51,在某音看到广告就付费了，结果很久没收到货，差订单也差不到，结果在支付里找到是购买,2021-05-09,https://tousu.sina.com.cn/complaint/view/17353197622/,投诉,省心购麒麟卡,退款,广告得儿童车19.9元，结果很久都没收到货，查看订单看到是省心购麒麟卡,已完成
52,拒绝售后,2021-05-06,https://tousu.sina.com.cn/complaint/view/17353163127/,投诉,京东客服,"赔偿,道歉,下架产品",19年9月26日在京东买奶粉时赠送的宝宝车子，使用过程中车子配件坏了，本来就是个简单的问题，我自己单独购买配件处理就可以，联系购买奶粉的说是不和这个童车店合作了，联系了天猫官方旗舰店的客服和京东官方旗舰店的客服，客服一问就是不知道，没有任何售后。,已完成
53,退货运费客服踢皮球,2021-05-05,https://tousu.sina.com.cn/complaint/view/17353145190/,投诉,阿里客服,"退款,赔偿,道歉",我平台购买一儿童车收获装好 发现 儿童车漆面不合格。掉漆。卖家给予20元赔偿我不同意。就申请退货 后因为物品较大。运费需要80多块。后与淘宝客服联系。被告知 质量问题运费 买家垫付 收到后卖家出。我就说运费金额较大 80多块钱呢。客服让我填写运费单。我就跟客服确认 是否百分之百退还而客服闭口不谈 一直反复强调。...,处理中
54,商品虚假标题专员包庇商家,2021-04-27,https://tousu.sina.com.cn/complaint/view/17353062562/,投诉,拼多多客户服务,"赔偿,道歉,作出处罚",拼多多商品标题明明写的成人两轮电动车下单后告知是儿童车，专员介入处理结果通知商家改进专员有包庇商家嫌疑,处理中
55,产品无3C认证,2021-05-04,https://tousu.sina.com.cn/complaint/view/17353138798/,投诉,拼多多客户服务,"退款,赔偿,道歉,下架产品,维修",本人于2021年3月13号购买了一款名为腕力球的带发光的金属玩具，收到货后，玩了几天，但是看到包装上无 3c认证标识，无3c认证带电的金属玩具是我国明令禁止的产品，根据法律查询到。3C认证即国家强制性产品认证制度，第五批强制性认证产品目录包括童车类、电玩具、塑胶玩具、金属玩具、弹射玩具、娃娃玩具等。相关法律法...,处理中
56,天猫永久旗舰店售卖的“95新”童车，顶多八成新，问题非常多,2021-04-27,https://tousu.sina.com.cn/complaint/view/17353055168/,投诉,天猫,"退款,赔偿,退货",商品页面描述的是有轻微磕碰，卖家自称“微瑕疵”“95新”。但我收到的车子根本不是卖家所谓的“微瑕疵“，也绝不是所谓的95新，这种车和二手车的区别就是干净点，车子一大堆问题，还有多个生锈的地方以及车子本身的质量问题卖家所谓的不退不换就是霸王条款，用“微瑕疵”“样车”等字眼糊弄消费者，就这种有如此多问题的车子你...,处理中
57,商家虚假宣传拍一发三，没有履行承诺,2021-04-13,https://tousu.sina.com.cn/complaint/view/17352898596/,投诉,魔筷科技,"退款,作出处罚,修改宣传内容,补发赠品",商家虚假宣传拍一发三，发三辆儿童车，收到的只有一辆儿童车，联系商家说同意退货但是拒绝承担运费问题。快递说从河北寄的，但是要我退回去时寄到新疆，并且有我自己出运费，如果到时候他们拒签来回运费都将有我承担，商家欺骗消费者，平台客服解决不了，商家态度猖獗,已完成
58,与商家mykids童车店发生售后，淘宝客服介入迟迟不处理,2021-04-18,https://tousu.sina.com.cn/complaint/view/17352951137/,投诉,阿里客服,退款,我于去年六月在淘宝商家mykids童车店购买了一辆婴儿车，属于囤货，并且此车有三年质保，在今年宝宝会坐了使用婴儿车发现它的质量问题，与商家协商退货，商家不同意，发起售后，淘宝同意我退回货品并且提供了商家的地址，商家收货后拒绝退款，售后小二介入，说三个工作日给处理结果，现在十几天过去了，每次询问都是正在...,处理中
59,在拼多多 “永久童车旗舰店”购入豪华版26女士自行车一辆，组装后质量极差做工粗糙,2021-04-13,https://tousu.sina.com.cn/complaint/view/17352902610/,投诉,拼多多客户服务,"退款,退货",在拼多多 “永久童车旗舰店”购入豪华版26女士自行车一辆，组装后 1 质量极差做工粗糙 2 车标塑料纸贴上，正品绝不可能这样 3 脚踏板做工极为粗糙 4 组装好后，骑行费力，质感极差，这质量的车给100都嫌多,处理中
60,商家作假，发货与描述不符。,2021-04-17,https://tousu.sina.com.cn/complaint/view/17352938525/,投诉,有赞服务指南,"退款,作出处罚",直播间下单的时候说49.9发3辆儿童车，如果收到的货不是三辆，直接退款。下单的时候有10元运费，主播解释说，因为3辆车子超重，所以才有10元的运费。快递已经拒收，显示原路返回，我申请退款，商家拒绝申请。拒收的快递，已经原路返回，却非让我申请退货退款，每个快递单号只能用一次，请问我如何能申请退货退款商家想...,已完成
61,慈航童车,2021-04-10,https://tousu.sina.com.cn/complaint/view/17352864089/,投诉,有赞服务指南,退款,感觉自己被骗了申请退款联系不到有赞客服，商家也联系不上,已完成
62,商家作假，发货与描述不符,2021-04-15,https://tousu.sina.com.cn/complaint/view/17352914188/,投诉,有赞服务指南,"退款,作出处罚",直播间下单的时候说49.9发3辆儿童车，如果收到的货不是三辆，直接退款。下单的时候有10元运费，主播解释说，因为3辆车子超重，所以才有10元的运费。快递已经拒收，显示原路返回，我申请退款，商家拒绝申请。拒收的快递，已经原路返回，却非让我申请退货退款，每个快递单号只能用一次，请问我如何能申请退货退款商家想...,已完成
63,拼多多商家（君坤童车专营店）,2021-03-29,https://tousu.sina.com.cn/complaint/view/17352738108/,投诉,拼多多客户服务,补发我该有的配件,拼多多平台投诉过。但商家叫我不投诉为由给我补发配件，后面我问了很多次发货没有，都在找理由不发货，一拖再拖，结果，时间过了，订单号不显示了。以找不到订单号为理由叫我找订单号，订单号找到了，又说不全面，全万面的找到订单号了，却又叫我出邮费才贵发货，这不坑人吗,处理中
64,拼多多真是垃圾,2021-03-25,https://tousu.sina.com.cn/complaint/view/17352691697/,投诉,拼多多客户服务,退运费,卖家给我发个童车发错了 运费45 退回去卖家不管了、拼多多不管联系不上客服 真是比某宝垃圾不是一点半点,处理中
65,柒小佰儿童平衡车设计制造存在缺陷，怀疑出售翻新问题车辆，好坏掺卖，要求退货退款,2021-03-30,https://tousu.sina.com.cn/complaint/view/17352709638/,投诉,闲鱼官方客服,"退款,退货",在品牌授权的闲鱼卖家莫莫at（授权书见图14）手上通过闲鱼app下单购买了柒小佰LINE联名儿童平衡车蓝色布朗熊一辆。 收到货的时候拆开安装，发现在螺丝处有破碎的地方（图3），卖家称破损的是个保护盖不影响安装。安装前仔细阅读了产品说明书，内容比较简单“用Z形工具将螺丝拧紧。（图4）”安装过多台儿童车我知道童车的...,处理中
66,淘宝上海凤凰童车企业店告知退货有运费险不需交运费与实际不符,2021-03-20,https://tousu.sina.com.cn/complaint/view/17352640201/,投诉,阿里客服,"退款,解释,退还运费险",家里老人在该店购买一辆童车，拿回来后发现太大，跟客服联系退货。经咨询客服退货是否需要运费客服答复有运费险了，随后就进行退货。第二天快递取件后告知老人要补77元运费，家里老人因为不了解情况就直接给钱了。晚上回来后本人与客服沟通客服不理不睬，随后告知本人我们可以自行找便宜的快递，跟说有运费险不用运费...,处理中
67,quinny童车旗舰店拒绝承担履行其承诺的两年内免费联保及保修升级服务,2021-03-15,https://tousu.sina.com.cn/complaint/view/17352581362/,投诉,阿里客服,"退款,赔偿,退货,维修",您好，本人于2019年8月25日于taobao平台（quinny童车旗舰店）购买了一款婴儿推车，到货时就发现一处质量问题（推杆一侧掉漆），店家当时以赠送小物品作为补偿。本人的妻子是2019年11月中生育小孩，然后遇到全国防yi抗yi，使用婴儿车外出次数更是非常非常少的2020年8月发现婴儿车的婴儿扶手断裂，这是第二次发现质量问...,处理中
68,顺丰速运送货不说明产品把已经申请退款的货品放门卫 自动签收 导致不能拒收,2021-03-06,https://tousu.sina.com.cn/complaint/view/17352473653/,投诉,顺丰官方客服,退货,在网上买了一个儿童车子 还没有发货我就申请退款了 但是昨天收到快递电话说我有快递 也没有说是什么 当时我在上班就让放门卫了 下楼一看是我申请退款的儿童车 现在货快递自动已经给我签收了 不能拒收 退货回去让我自己去运费,已完成
69,商品质量有严重问题 商家态度差拒不道歉赔偿,2021-03-11,https://tousu.sina.com.cn/complaint/view/17352535806/,投诉,天猫,"赔偿,道歉,作出处罚,改善服务,下架产品",2021年3月3号在淘宝福儿宝旗舰店买了一辆儿童车，自收到货物以来孩子一次没玩，车子充不上电 商家给补发了一个电瓶 回来还是充不上电 该款商品有严重质量问题，3号买的车子 今天补发的电瓶刚到，今天是11号 也就是说这中间孩子也不能玩 又让我等四天最右补发充电口，另外还有车子新车磨损严重 有多处掉漆的地方，商家态...,处理中
70,因为号码注销登入不了账号购买东西不到,2021-03-06,https://tousu.sina.com.cn/complaint/view/17352480686/,投诉,拼多多客户服务,"发货,合理解释",我于2021年2月25日家人购买了一辆儿童车，结果到现在迟迟没到货，本来想着不要了，但是号码没用注销了登入不了，联系拼多多客服也不给我处理，我号码注销了登入不上他们就是听不懂人话硬要我登上，也不给我个登上的办法，然后联系了商家说发货了我也和他说正常发货吧，结果发给我一个空包，如今我退款也退不了，我就是叫...,处理中
71,拼多多客服善自进行退款 绿慧商贸童车,2021-03-03,https://tousu.sina.com.cn/complaint/view/17352445454/,投诉,拼多多客户服务,解释,投诉拼多多客服，极速给客人退款，200***-262947472311*** 2020年4月份的产品，今天3点说配件损坏，我们可以补配件售后，不经过商家处理善自进行极速退款 ，投诉到底 无法无天，有没有有关法律可以进行管制,处理中
72,淘宝（乐淘淘童车企业店）客服,2021-02-27,https://tousu.sina.com.cn/complaint/view/17352400209/,投诉,阿里客服,作出处罚,『乐淘淘童车企业店』客服人员（飞）服务态度恶劣。,处理中
73,鑫木玛童车旗舰店欺骗消费者，虚假宣传,2021-02-25,https://tousu.sina.com.cn/complaint/view/17352379057/,投诉,拼多多客户服务,"赔偿,作出处罚,修改宣传内容",在拼多多买了一个童车，单号210***-586076324980***，客服承诺的好评返现20元，未履行，要求三倍履行,处理中
74,京东商家（小贝贝母婴专营店）售后问题不处理，一直各种推脱搪塞，自己吐出来的口水都,2021-02-23,https://tousu.sina.com.cn/complaint/view/17352363201/,投诉,京东客服,"赔偿,道歉,作出处罚,改善服务,解释,发货,补发赠品,开发票",2020年8月下旬，在京东该店铺给孩子买了个电动童车，玩儿了几次，还有9月份开学就没玩儿了，一直到2月初孩子放寒假，准备拿出来充上电给孩子玩儿，结果发现充电的接头掉了，充不上电了，联系商家客服，客服说重新补发一个仪表盘，年前说放假了，年后再说，年后联系说没配件，发个信息几天都不回复，一二十天了都是各种推...,已完成
75,香河畅荣文化传媒有限公司手机汇款没发货,2021-02-06,https://tousu.sina.com.cn/complaint/view/17352202471/,投诉,阿里客服,"退款,作出处罚",2021年1月27日，我在阿里巴巴平台上的名为香河畅荣文化传媒有限公司的店铺下单两辆16寸的儿童车，下单后客服说线上下单没办法发货，要线下对公支付才能发货，并发来银行账号，于是我对刚下的单进行退款申请，让客服处理，用手机银行进行汇款，并截图发个客服，并说向账务提交，安排发货，我一直让客服发单号给我，客服至...,处理中
76,童车质量问题,2021-01-31,https://tousu.sina.com.cn/complaint/view/17352124620/,投诉,拼多多客户服务,"作出处罚,下架产品",到家第一天先后自功爆了两个，次日又爆了一个,处理中
