发微博时间,召回内容
Fri Sep 03 17:00:03 +0800 2021,#关注交通安全# 【召回部分进口迈凯伦570S、720S、600LT和GT汽车】由于车轮制动钳上的制动器挠性软管空心螺栓可能未正确加工通孔，使得车辆相应车轮可能没有制动。这可能导致车辆在制动时向一侧牵拉，特别是在高速制动时会增加碰撞风险，存在安全隐患。迈凯伦汽车销售（上海）有限公司自2021年8月30日起，召回部分2019年7月2日至2020年2月13日期间生产的2020年款进口迈凯伦570S SPIDER、720S（COUPE和SPIDER）、600LT SPIDER和GT汽车，共计9辆。网页链接
Fri Sep 03 16:32:36 +0800 2021,《董涛说车》20210902主要内容1.小米汽车公司成立2.沃尔沃S60的T4和T8版本怎么选3.从油耗、性价比对比大众途昂X和凯迪拉克XT54.很多车都没有备胎只有补胎液，跑长途会不会有隐患5.4S店操作失误导致车门损伤，员工个人承诺更换，需要注意什么6.汽车缺陷召回的故障再次出现需要自费，是否合理7.前后刹车片能不能共用8.斯巴鲁森林人怎么样9.新款丰田汉兰达动力如何10.岚图FREE是否值得考虑主要提及车型沃尔沃S60，大众途昂X，凯迪拉克XT5，雪铁龙世嘉，斯巴鲁森林人，丰田汉兰达，岚图FREE...网页链接
Fri Sep 03 09:27:37 +0800 2021,#撩妹不如撩车# 【北京奔驰召回部分EQC及GLB，存在安全隐患，免费检查修理】北京奔驰汽车有限公司召回车辆包括生产日期在2019年6月12日至2020年6月18日期间的国产EQC车辆，共计796辆在2020年7月4日至2020年7月29日期间的国产GLB车辆，共计720辆。本次召回的奔驰EQC部分车辆由于装配后无法识别检查空调冷凝水软管的状态，造成空调冷凝水可能进入乘员舱，并腐蚀安装在驾驶员或副驾驶脚部区域或中央通道区域的电气部件或导致其短路。这可能导致安全气囊控制单元故障，自动紧急呼叫功能不可用，车辆无法启动或在行驶过程中熄火。针对这些隐患，北京奔驰汽车有限公司将为召回范围内车辆免费检查空调排水软管是否安装到位，并根据需要更换新的排水软管。本次召回的奔驰GLB部分车辆由于第二排座椅中央扶手杯托可能少安装了一个固定螺钉，杯托的部分塑料零件可能与扶手分离，增加车内乘员受伤的风险。针对这些隐患，北京奔驰汽车有限公司将为召回范围内车辆免费安装缺失的杯托螺钉。
Wed Sep 01 14:45:03 +0800 2021,#CarCar车TV# 迈凯伦汽车销售（上海）有限公司自2021年8月30日起，召回以下车辆，共计9辆。#迈凯伦# 召回批次　　召回部分2019年7月2日至2020年2月13日期间生产的2020年款进口迈凯伦570S SPIDER、720S（COUPE和SPIDER）、600LT SPIDER和GT汽车，共计9辆。召回原因　　本次召回范围内车辆车轮制动钳上的制动器挠性软管空心螺栓可能未正确加工通孔，使得车辆相应车轮可能没有制动。这可能导致车辆在制动时向一侧牵拉，特别是在高速制动时会增加碰撞风险，存在安全隐患。解决办法　　迈凯伦汽车销售（上海）有限公司将免费为召回范围内车辆检查每个制动钳上的制动器挠性软管空心螺栓，如果发现未正确加工则予以更换，以消除安全隐患。　　应急处置措施驾驶员如果发现车辆制动时出现向一侧牵拉的问题，应停止使用车辆并联系经销商处理。
Tue Aug 31 16:51:33 +0800 2021,#召回信息# 【斯巴鲁汽车（中国）有限公司召回部分进口森林人汽车】斯巴鲁汽车（中国）有限公司自2021年9月24日起，召回2018年4月23日至2018年6月21日期间生产的部分进口2018年款森林人系列汽车，共计8辆。本次召回范围内车辆由于在低压燃油泵叶轮的制造过程中树脂成型条件不完善，造成叶轮树脂密度不足。叶轮可能会受燃油影响而发生膨润变形，并与燃油泵壳体发生干涉、卡滞，导致低压燃油泵无法正常工作，极端情况下可能造成车辆行驶中发动机熄火，存在安全隐患。 斯巴鲁汽车（中国）有限公司将为召回对象车辆免费更换改良后的低压燃油泵，以消除安全隐患。 斯巴鲁汽车（中国）有限公司
Tue Aug 31 16:51:11 +0800 2021,#召回信息# 【程力专用汽车股份有限公司召回部分专用汽车】程力专用汽车股份有限公司决定自2021年8月30日起召回以下车辆。（一）2018年3月19日至2018年3月20日生产的部分绿化喷洒车，共计10辆。 本次召回范围内的车辆由于制造环节把控不严，导致后下部防护装置不符合国家标准要求。发生后车追尾事故时可能无法起到有效防护作用，增加后车驾乘人员受伤的风险，存在安全隐患。 程力专用汽车股份有限公司将对召回范围内车辆免费维修后下部防护装置，焊接支撑件增加强度以符合标准要求，消除安全隐患。 （二）2018年10月13日至2018年11月2日生产的部分清障车，共计6辆。 本次召回范围内车辆由于制造环节把控不严，导致侧防护装置不符合国家标准要求。在车辆发生碰撞时可能无法起到有效防护作用，增加行人等受伤的风险，存在安全隐患。 程力专用汽车股份有限公司将对召回范围内车辆免费维修侧防护装置，焊接支撑件增加强度以符合标准要求，消除安全隐患。 （三）2018年11月9日至2018年11月12日生产的部分绿化喷洒车9辆、2018年11月26日至2018年12月5日生产的部分扫路车9辆，共计18辆。 本次召回范围内的车辆由于制造环节把控不严，导致后下部防护装置两端未倒圆角，不符合国家标准要求，可能造成锐角划伤人员，存在安全隐患。 程力专用汽车股份有限公司将对召回范围内车辆免费维修后防护装置，在后防护两端补充倒圆角，防止锐角划伤，以消除安全隐患。 以上召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，程力专用汽车股份有限公司决定采取召回措施，消除安全隐患。 程力专用汽车股份有限公司
Tue Aug 31 16:29:03 +0800 2021,【受通用汽车召回事件影响，#LG能源或推迟IPO#】当地时间周一，韩国电池制造商LG能源解决方案（LGES）表示，该公司将在10月决定是否按原计划于年内进行IPO。报道称，由于电池存在起火风险，通用汽车今年两次宣布召回Bolt电动车，共召回14.2万辆汽车。电池缺陷产生的原因仍在调查，但通用汽车此前已明确表示将向LGES索赔。分析师指出，LGES和通用汽车将围绕成本的分摊进行谈判，而LGES的IPO时间表取决于两家公司的谈判时长。（北京商报）
Tue Aug 31 16:26:53 +0800 2021,【受通用汽车召回事件影响 LG 能源或推迟 IPO】据北京商报报道，韩国 LG 能源解决方案于当地时间星期一表示，将在10月决定是否按原计划进行 IPO。LG能源解决方案是通用汽车的电池供应商，由于电池存在起火风险，通用汽车今年两次宣布召回旗下 Bolt 汽车。LG 能源解决方案和通用汽车将围绕成本的分摊进行谈判，而 LG 能源解决方案的 IPO 时间表取决于两家公司的谈判时长。
Tue Aug 31 13:07:15 +0800 2021,北京奔驰汽车有限公司因空调冷凝水软管存在安全隐患，自2021年8月30日起，召回部分生产日期在2019年6月12日至2020年6月18日期间的国产EQC车辆，共计796辆。 
Tue Aug 31 12:26:03 +0800 2021,北京奔驰汽车有限公司因座椅扶手安装缺陷，存在安全隐患，自2021年9月17日起，召回部分生产日期在2020年7月4日至2020年7月29日期间的国产GLB SUV车辆，共计720辆。 
Tue Aug 31 11:40:03 +0800 2021,#汽车情报局#【涉及1516辆 部分北京奔驰EQC/GLB宣布召回】北京奔驰汽车有限公司本次召回范围内部分车辆由于供应商原因，第二排座椅中央扶手杯托可能少安装了一个固定螺钉。如果车辆发生碰撞，杯托的部分塑料零件可能与扶手分离，不符合国家相关强制性标准的要求，会增加车内乘员受伤的风险，存在安全隐患。原文传送门网页链接
Mon Aug 30 19:14:17 +0800 2021,【通用汽车召回事件发酵 #LG能源解决方案或推迟IPO#】当地时间周一，韩国电池制造商LG能源解决方案（LGES）表示，该公司将在10月决定是否按原计划于年内进行IPO。LGES是通用汽车的电池供应商，去年从LG化学中拆分出来，原计划于今年10月登陆韩国KOSPI市场。市场普遍认为，此次IPO将成为韩国史上规模最大的IPO，可能融资100亿至120亿美元之间。然而在Bolt电动车因电池存在起火风险被大面积召回后，LGES的IPO前景增添了不确定性。 通用汽车召回事件发酵 LG能源解决方案或推迟IPO
Mon Aug 30 18:09:20 +0800 2021,#汽车召回# 【存安全隐患 北京奔驰召回部分EQC及GLB】由于装配后无法识别检查空调冷凝水软管的状态，无法确保其连接的紧密性，造成空调冷凝水可能进入乘员舱。北京奔驰决定自2021年8月30日起，召回部分生产日期在2019年6月12日至2020年6月18日期间的国产EQC车辆，共计796辆自2021年9月17日起，召回部分生产日期在2020年7月4日至2020年7月29日期间的国产GLB车辆，共计720辆。
Mon Aug 30 17:25:13 +0800 2021,【注意#奔驰迈凯伦召回部分型号汽车#】即日起，北京奔驰汽车有限公司召回796辆EQC车辆，迈凯伦汽车销售（上海）有限公司召回9辆2020年款进口迈凯伦570S SPIDER、720S（COUPE和SPIDER）、600LT SPIDER和GT汽车。召回原因分别为安全气囊（SRS）控制单元故障、高速制动时增加碰撞风险等，存在安全隐患。 
Mon Aug 30 16:01:48 +0800 2021,#汽车召回# 中国汽车召回网讯 程力专用汽车股份有限公司决定自2021年8月30日起召回以下车辆。  （一）2018年3月19日至2018年3月20日生产的部分绿化喷洒车，共计10辆。   （二）2018年10月13日至2018年11月2日生产的部分清障车，共计6辆。   （三）2018年11月9日至2018年11月12日生产的部分绿化喷洒车9辆、2018年11月26日至2018年12月5日生产的部分扫路车9辆，共计18辆。   召回原因  （一）本次召回范围内的车辆由于制造环节把控不严，导致后下部防护装置不符合国家标准要求。发生后车追尾事故时可能无法起到有效防护作用，增加后车驾乘人员受伤的风险，存在安全隐患。   （二）本次召回范围内车辆由于制造环节把控不严，导致侧防护装置不符合国家标准要求。在车辆发生碰撞时可能无法起到有效防护作用，增加行人等受伤的风险，存在安全隐患。   （三）2018年11月9日至2018年11月12日生产的部分绿化喷洒车9辆、2018年11月26日至2018年12月5日生产的部分扫路车9辆，共计18辆。   召回措施  （一）程力专用汽车股份有限公司将对召回范围内车辆免费维修后下部防护装置，焊接支撑件增加强度以符合标准要求，消除安全隐患。   （二）程力专用汽车股份有限公司将对召回范围内车辆免费维修侧防护装置，焊接支撑件增加强度以符合标准要求，消除安全隐患。   （三）程力专用汽车股份有限公司将对召回范围内车辆免费维修后防护装置，在后防护两端补充倒圆角，防止锐角划伤，以消除安全隐患。   以上召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，程力专用汽车股份有限公司决定采取召回措施，消除安全隐患。   通知方式  程力专用汽车股份有限公司此外，也可拨打中国汽车召回网热线电话010-65537365/010-64696365 ，反映召回活动实施过程中的问题或提交缺陷线索。
Mon Aug 30 11:24:03 +0800 2021,#财经# 因电池问题造成起火事件，美国通用汽车宣布二次召回雪弗兰电动汽车。2020年11月通用汽车首次宣布召回这款汽车。而此次召回涉及全球约6.9万辆汽车，其中近5.1万辆位于美国境内。通用汽车表示，之前召回汽车主要修复了软件方面，这一次将更换汽车中有缺陷的电池模块，从而降低起火的风险。 
Mon Aug 30 10:20:03 +0800 2021,#汽车情报局#【因安全带安装不当 福特召回16430辆F-150】据海外媒体报道，由于安全带问题，福特将召回16430辆2021款F-150 SuperCab。本次召回涉及2021年1月2日至5月27日之间生产的相关车型。据悉，问题车辆可能存在安全带安装不当的情况，它们被错误地穿过橡胶装饰套，而不是本应链接的固定装置。在发生碰撞的情况下，安全带将无法进行约束并保护乘客，受伤概率大大增加。
Sat Aug 28 12:56:30 +0800 2021,通用汽车首席执行官 Mary Barra 表示，通用汽车将继续维持与 LG Energy Solution 的合作关系，同时强调，通用汽车有 “多条途径” 确保在向电动汽车转型的过程中占据领先地位。据悉，由于电池存在起火风险，通用汽车今年两次宣布召回 Bolt 电动车，共召回 14.2 万辆汽车，该公司可能要为此付出 18 亿美元的高昂成本。通用汽车承诺维持与LG电池合作关系 进军电动车领域信心满满
Sat Aug 28 06:36:14 +0800 2021,"【奔驰因漏油隐患在美召回4800辆轿车/SUV】美国公路交通#从心开始爱家人# #夏日护肤记# 安全管理局（NHTSA）近日公布文件称，因为部分汽车存在漏油隐患，奔驰将在美国召回4,871辆轿车和SUV。NHTSA的文件中表示，奔驰本次召回的车型为2014年至2015年间生产的E250 BlueTec轿车、E250 BlueTec 4Matic轿车、GLK250 4Matic BlueTec SUV等。"
Thu Aug 26 23:14:20 +0800 2021,车市热门8月24日消息，据外媒报道，美国汽车制造商通用汽车表示，它将扩大雪佛兰Bolt电动汽车的召回，原因是其韩国供应商LG的电池存在火灾风险。这预计将使这家美国公司额外损失10亿美元。最新的召回涉及从2019年到2022年在美国和加拿大销售的7.3万辆Bolt电动汽车和EUV车型，召回的目的是更换有缺陷的电池模块。（腾讯科技）
Wed Aug 25 17:00:03 +0800 2021,#关注交通安全# 【召回部分瑞风S3汽车】由于零部件供应商生产工装维护不良，燃油箱加油口接头下部与燃油箱本体焊接位置可能存在焊接缺陷，导致车辆运行一段时间后加油口部位可能发生渗油现象。在遇到明火的极端情况下可能发生火灾，存在安全隐患。安徽江淮汽车集团股份有限公司自9月17日起，召回2015年1月20日至2015年12月24日生产的部分瑞风S3汽车，共计84186辆。网页链接
Tue Aug 24 15:55:30 +0800 2021,【#新能源汽车# LG化学电池存起火隐患】超10万辆电动车被召回，皆因LG化学软包电池有起火风险。不到一年召回30万辆、赔偿或超140亿，LG化学要凉2020年上半年全球车用动力电池市场，LG 化学以 24.6%的市场份额排名第 1，击败宁德时代和松下。通用汽车近日表示，它正在召回全球销售的所有雪佛兰 Bolt系列电动汽车，以解决可能导致火灾的电池问题。此次召回源于LG化学提供的电池存在两项缺陷，通用汽车已经向LG化学就此索偿。
Mon Aug 23 21:40:03 +0800 2021,#市场监管提醒# 【安徽江淮汽车集团股份有限公司召回部分瑞风S3汽车】安徽江淮汽车集团股份有限公司决定自9月17日起，召回2015年1月20日至2015年12月24日生产的部分瑞风S3汽车，共计84186辆。本次召回范围内部分车辆由于零部件供应商生产工装维护不良，燃油箱加油口接头下部与燃油箱本体焊接位置可能存在焊接缺陷，导致车辆运行一段时间后加油口部位可能发生渗油现象。在遇到明火的极端情况下可能发生火灾，存在安全隐患。安徽江淮汽车集团股份有限公司将对召回范围内车辆进行免费检查，对存在缺陷的燃油箱进行免费更换，以消除安全隐患。安徽江淮汽车集团股份有限公司将以挂号信、电话等形式与相关车主取得联系，安排免费检修事宜，
Mon Aug 23 20:28:39 +0800 2021,通用汽车大幅找回电动车 或造成10亿美元损失8月20日，通用汽车宣布，由于高压电池组存在着火风险，公司将扩大召回雪佛兰Bolt电动汽车的范围，公司或因此损失10亿美元。受此影响，通用汽车股票在周一大盘开始前下跌2.27%。 最新一批召回的汽车包括7.3万辆2019年至2022年款Bolt电动汽车。公司将无限期停止销售该车型，并将向电池供应商LG公司寻求赔偿。 北京·焦王庄
Mon Aug 23 19:49:05 +0800 2021,通用大规模召回汽车，主要是LG的电池问题，梳理下LG这两年召回事件2020年10月，现代汽车宣布在全球召回7.7万辆搭载LG电池的KONA电动汽车。2020年11月，LG能源首次召回雪佛兰电动汽车。2020年12月，LG能源宣布在美国召回其部分Resu 10H家用型储能系统产品。2021年2月，现代汽车宣布将从3月29日起二次召回约8.2万辆电动汽车以更换电池系统。2021年3月，LG化学的储能系统（ESS）再次因电池存在起火风险而宣布召回。2021年7月，通用汽车召回所有的Bolt EV，将向电池供应商 LG 寻求赔偿。2021年8月，LG新能源召回1万套家用储能电池产品。电池召回主要两个原因一方面电芯制造问题，LG电芯设计更追求极致能量密度，快充性能，同时又降本，放大电芯出事的概率，通用本次召回主要因为负极极耳撕裂和隔膜发生褶皱。第二是模组保护设计问题，海外对模组pack安全防护没有要求，欧洲LG电池软包设计基本上没有做防护，不像国内会用云母材质做隔热板。LG是全球排第二，之前是全球老大，都出了这么多事。说明电池制造的壁垒比想象中更加深厚，老二出事利好的自然是老大，宁德人在家中坐，利好从天上来。
Mon Aug 23 17:53:21 +0800 2021,实时播报通用汽车(GM.N)盘前跌2.4%，周末公司扩大了雪佛兰Bolt电动车召回范围，此前公司已宣布因起火风险召回部分该款车辆。 
Mon Aug 23 17:43:46 +0800 2021,#LG电池##通用汽车# #DIGITIMES#继搭载LG化学动力电池存在起火安全隐患，现代汽车召回相关电动车后，美国通用汽车近日也步其后尘，宣布召回7.3万辆旗下雪佛兰Bolt电动车更换电池。作为新兴产业，新能源汽车发展速度一日千里，然而频发的电池起火事件却时不时在摇晃速度与质量天秤两端的平衡，上演着一起又一起电动车召回“连续剧”。 LG电池再现起火隐患 通用召回Bolt电动车 电池安全问题难解
Mon Aug 23 16:20:36 +0800 2021,通用汽车（General Motors，GM）表示，LG集团生产组装的电动汽车（EV）电池有起火风险，决定扩大召回Chevrolet Bolt电动汽车，LG Chem和关系企业LG电子闻讯暴跌。Naver报价显示，周一（23日）下午1点10分为止，LG Chem重挫10.24%、LG电子重挫3.75%。Pulse报道，美 GM扩大召回Bolt EV，电池供应商LG Chem股价泻 
Mon Aug 23 15:13:25 +0800 2021,【#通用汽车召回所有雪佛兰 Bolt电动车#，有火灾风险，将增加10亿美元成本】通用汽车近日表示，它正在召回全球销售的所有雪佛兰 Bolt系列电动汽车，以解决可能导致火灾的电池问题。此次召回源于LG化学提供的电池存在两项缺陷，通用汽车已经向LG化学就此索偿。老板联播的微博视频 
Mon Aug 23 14:49:43 +0800 2021,【通用扩大Bolt EV召回范围 损失高达10亿美元】通用日前表示，由于高压电池存在起火风险，该公司将扩大针对雪佛兰Bolt EV车型的召回范围，此举将导致该公司遭受10亿美元的损失。对于通用来说，此次扩大召回范围是一个严重的打击，当前该公司正在寻求提升电动汽车的销量。通用还表示，受起火风险影响，该公司将无限期暂停该电动车型的销售，并向电池供应商LG寻求补偿。最新的召回涉及2019至2022款共7.3万辆汽车，其中包括2019款9335辆、2020至2022款共63683辆。
Mon Aug 23 14:40:25 +0800 2021,#通用汽车召回所有雪佛兰 Bolt电动车#，有火灾风险，将增加10亿美元成本，你现在的轿车是电动的还是燃油的  网页链接 
Mon Aug 23 12:12:21 +0800 2021,通用汽车上周五表示，由于高压电池组可能引发火灾，将扩大对于雪佛兰 Bolt 纯电动汽车的召回范围，包括改版后的 Bolt EUV，预计耗资 10 亿美元，同时将无限期停止该款电动汽车的销售。通用汽车在召回新闻稿中称，电池内部同时发现了破损的负极极耳，以及弯折的隔离膜，这些都增加了着火的风险。此外，通用表示将向电池供应商 LG 寻求补偿。信源reuters、electrek
Mon Aug 23 10:09:23 +0800 2021,LG电池近期事故梳理20年11月，通用汽车召回6.87万辆Bolt EV，源于该批次车辆发生5起非碰撞起火事故，事故原因在于电池一致性问题导致充满或接近充满时有起火风险该起召回预期损失8亿美元。21年2月，现代汽车召回7.76万辆Kona、Ioniq纯电动汽车，源于该批次车辆发生15起着火事故根据韩国交通运输部及现代汽车调查原因在于电池内部极片未对准，电池充满可能导致起火本次召回预计损失9亿美元21年3月，大众汽车召回213辆大众e-UP、斯柯达 Citigo、西亚特E-Mii，标注原因为电池有发生热失控可能性。21年8月，通用宣布召回2019-2021年Bolt车型7.3万辆，源于10起非碰撞火灾事故，原因亦为电池制造缺陷，极耳及隔膜或有褶皱美国国家公路交通安全管理局8月20日宣布，再次对雪佛兰Volt发出消费者警告令，并对事故展开调查。本次召回预计损失10亿美元。叠片&amp软包路线 VS 卷绕&amp方形LG电池所涉及车辆事故的调查多指向电池的一致性以及生产制造问题，核心在于叠片工艺路线极片一致性以及电池的安全问题。锂电池制造过程涉及多尺寸的精度控制，纳米、微米、毫米、米、千米制造过程要求严格的控型控性能力，极片涂层厚度和重量一致性、阴阳电极间位错精度、产品尺寸精度、电化学性能和容量一致性，而我们认为方形大电芯的卷绕路线一致性以及生产制造更为精细。国内近90%方形电池，而海外50%的软包电池，两者形成较大的差异性在海外对软包认可度较高的车企大众、现代、通用、戴姆勒等，大众已全面转向方形标准电芯，25年80%的电池采用方形戴姆勒已宣布开发方形标准电芯，我们认为现代、通用的事故问题将迫使其重视后续电池路线这对由宁德所主导的方向大电芯路线的全球推广带来较好的机遇。
Mon Aug 23 09:38:52 +0800 2021,#汽车召回# 【有刹车失灵隐患，3561辆进口宝马被召回】车辆的DME中控制串联泵的相关软件程序存在缺陷，连锁反应会导致制动踏板变硬，制动距离变长，宝马（中国）决定自即日起，召回2018年6月19日至2021年5月28日生产的进口540i及Z4汽车，共计3561辆。 
Mon Aug 23 09:09:42 +0800 2021,回避LG电池板块的个股 海通电新通用再次召回7.3万辆Bolt EV，电池路线问题凸显LG电池近期事故梳理[玫瑰]1、20年11月，通用汽车召回6.87万辆Bolt EV，源于该批次车辆发生5起非碰撞起火事故，事故原因在于电池一致性问题导致充满或接近充满时有起火风险该起召回预期损失8亿美元。 
Mon Aug 23 08:01:04 +0800 2021,因火灾风险，通用汽车扩大雪佛兰Bolt EV的召回范围Griffin的Citadel计划从Melvin Capital赎回5亿美元PayPal在英国推出加密货币服务…… 因火灾风险，通用汽车扩大雪佛兰Bolt EV的召回范围 | 风云海外动态 
Mon Aug 23 03:41:22 +0800 2021,"#美国政经# 纯电动汽车的风险就在于此通用汽车正在召回全球销售的所有雪佛兰 “Bolt”系列电动汽车，以维修可能导致火灾的电池问题，此行动扩大了之前的召回范围。 在较早召回修理两辆起火汽车后，该公司上个月告诉 保有2017-2019 年度车辆的车主们，将车停在户外，不要通宵充电。Grand Rapids, Michigan — General Motors is recalling all Chevrolet Bolt electric vehicles sold worldwide to fix a battery problem that could cause fires, expanding a previous recall. The company last month told owners of 2017-2019 model year vehicles to park outdoors and not charge them overnight after two vehicles repaired in the earlier recall caught fire."
